CustomerID,CustomerName,Gender,AgeGroup,City,Region,LoyaltyTier
CUS0096,Kristen Harrison,Other,26-35,Petersonland,South,Silver
CUS0097,Cole Carrillo,Other,51+,Clarkmouth,West,Gold
CUS0098,Amanda Taylor,Male,51+,West Sherry,North,Gold
CUS0099,Robert Flowers,Female,36-50,,West,Platinum
CUS0100,Jennifer Osborne,Male,26-35,Marktown,North,Platinum
CUS0101,Amanda Taylor,Male,26-35,Ashleyshire,South,Bronze
CUS0102,Veronica Harris,Male,26-35,Brownfurt,West,Bronze
CUS0103,Brian Hudson,Female,36-50,Fowlerport,West,Platinum
CUS0104,Brian Tran,Female,36-50,Port Hannahfort,South,Gold
CUS0105,Cristian Pruitt,Female,51+,Campbellbury,North,Platinum
CUS0106,Joseph Gibson,Other,18-25,Aprilburgh,West,Gold
CUS0107,Theodore Myers,Female,26-35,East Amandafort,East,Gold
CUS0108,Jasmine Berger,Male,36-50,East Monica,West,Silver
CUS0109,Robert Ortega,Female,51+,New Barbara,East,Platinum
CUS0110,Dale Moran,Female,36-50,Hilltown,North,Platinum
CUS0111,Jill Summers DDS,Male,36-50,New Mark,West,Gold
CUS0112,Katherine Ford,Female,51+,Lake Christophermouth,West,Bronze
CUS0113,Ryan Sparks,Female,18-25,Austinburgh,South,Platinum
CUS0114,Christopher Williamson,Male,36-50,Ellisburgh,South,Platinum
CUS0115,Anna Hale,Other,18-25,East Nicoleburgh,South,Silver
CUS0116,Mark Carter,Female,18-25,Lake Jessicaborough,West,Gold
CUS0117,Jennifer Gill,Male,51+,West Charlesville,North,Bronze
CUS0118,Penny Ortiz,Female,26-35,West Jared,West,Bronze
CUS0119,Alexander Fowler,Other,51+,Jamesfurt,North,Gold
CUS0120,Jennifer Smith,Female,51+,Lake Sallymouth,North,Silver
CUS0121,Julie Murray,Male,51+,New Dianemouth,West,Gold
CUS0122,Robert Skinner,Female,36-50,Port Andrew,North,Silver
CUS0123,Edward Nichols,Female,26-35,Jacksontown,North,Silver
CUS0124,Brittany Howard,Female,26-35,Lake Austin,East,Silver
CUS0125,Cindy Horton,Female,36-50,South Hannahmouth,North,Platinum
CUS0126,Aaron Barton,Male,18-25,East Nicholas,North,Gold
CUS0127,Brandon Fisher,Other,18-25,West Loriland,West,Bronze
CUS0128,Stephen Robles,Other,18-25,Lake Gary,West,Bronze
CUS0129,Brian Murphy,Other,51+,New Jamie,West,Bronze
CUS0130,Teresa Martinez,Female,26-35,North Michael,North,Platinum
CUS0131,James Stewart,Female,18-25,Lewisbury,North,Platinum
CUS0132,Robert Santos,Female,18-25,Bradleyborough,East,Silver
CUS0133,Randall Porter,Male,51+,Lake Amandashire,East,Platinum
CUS0134,Tyler Greene,Other,51+,Gregoryberg,West,Silver
CUS0135,Mark Henson,Other,36-50,Tiffanyfort,West,Bronze
CUS0136,Alan Barr,Other,18-25,Reyesbury,East,Bronze
CUS0137,Michele Smith,Male,18-25,New Katherineville,North,Bronze
CUS0138,Oscar Todd,Other,51+,North Devinfort,North,Bronze
CUS0139,Christian Harris,Female,36-50,East Sandramouth,North,Silver
CUS0140,Erin Ramirez,Male,36-50,New Latoyachester,North,Silver
CUS0141,Donna Johnson,Female,36-50,Matthewborough,West,Silver
CUS0142,Susan Ortega,Other,26-35,Port Grace,South,Bronze
CUS0143,Lisa James,Male,18-25,Isaiahtown,South,Platinum
CUS0144,John Mckay,Female,51+,Lake Victoriaborough,East,Platinum
CUS0145,Christopher Dunn,Other,36-50,East William,South,Platinum
CUS0146,John Martin,Female,51+,East Roger,East,Gold
CUS0147,Elizabeth Ray,Male,36-50,West Michelle,South,Platinum
CUS0148,Dr. Ian Gray,Other,36-50,Alexanderhaven,South,Bronze
CUS0149,Jessica Moore,Female,18-25,Smithfurt,West,Gold
CUS0150,Bradley Knox,Male,36-50,Brookeberg,South,Platinum
CUS0151,Casey James,Female,18-25,Shawnfurt,East,Bronze
CUS0152,Karen Cook,Male,26-35,Gonzalezborough,West,Silver
CUS0153,Scott Cross,Female,51+,Travischester,West,Platinum
CUS0154,Tracy Brooks,Female,18-25,Parkershire,West,Bronze
CUS0155,Stephen Riddle,Other,36-50,South Sarahburgh,East,Platinum
CUS0156,Jeffrey Scott,Male,51+,Williamfort,East,Bronze
CUS0157,Isabel Brown,Female,36-50,Housebury,West,Bronze
CUS0158,Andrew Li,Female,36-50,Lake Elizabethberg,North,Bronze
CUS0159,Jesus Becker,Male,36-50,Johnshire,West,Silver
CUS0160,Sarah Smith,Female,18-25,Lake Jenniferfurt,East,Platinum
CUS0161,Kevin Santana,Female,36-50,South Gabriel,East,Bronze
CUS0162,Michael Mason,Other,51+,Willischester,South,Silver
CUS0163,Tammy Booth,Female,36-50,Lake Ashleystad,South,Gold
CUS0164,Debra Clark,Male,51+,Haletown,North,Bronze
CUS0165,Dr. April Jones,Male,18-25,Warrenport,North,Gold
CUS0166,Carolyn Brooks,Other,18-25,East Tom,East,Platinum
CUS0167,Ashley Bradley,Other,51+,East James,East,Silver
CUS0168,Rhonda Lee,Male,18-25,Alexanderville,South,Gold
CUS0169,Carol Carter,Other,51+,Martinezland,North,Silver
CUS0170,Kevin Woods,Male,51+,North Brucetown,South,Gold
CUS0171,Rachel Williams,Other,18-25,New Latoya,North,Silver
CUS0172,Joseph Hayden,Male,51+,Sarahfort,East,Silver
CUS0173,Lindsey Rogers,Female,51+,Yvonnebury,South,Bronze
CUS0174,Mary Gray,Female,36-50,West Morganville,East,Silver
CUS0175,Seth Morales,Other,51+,North Carolyn,North,Silver
CUS0176,Diana Lyons,Male,36-50,West Shannon,West,Gold
CUS0177,Sheila Robertson,Other,36-50,North Valerie,West,Gold
CUS0178,Robin Smith,Female,18-25,Morganmouth,East,Silver
CUS0179,Cynthia Washington,Other,26-35,West Ronniefort,West,Bronze
CUS0180,Dr. Susan Navarro,Female,36-50,Catherineberg,West,Silver
CUS0181,Sherri Glover,Male,36-50,East Tylerland,West,Bronze
CUS0182,Michael Dunn,Female,26-35,Jacksonmouth,West,Gold
CUS0183,Karen Fernandez,Other,18-25,East George,East,Gold
CUS0184,Melissa Garcia,Male,26-35,East Sarahmouth,West,Platinum
CUS0185,Pamela Robinson,Female,51+,,West,Platinum
CUS0186,Tammy Schultz,Female,36-50,Davismouth,East,Gold
CUS0187,Tara Miranda,Other,36-50,Lake Matthewfurt,West,Gold
CUS0188,Rachel Burch,Male,26-35,Stokesbury,East,Bronze
CUS0189,Earl Rodriguez,Male,26-35,Joyborough,South,Platinum
CUS0190,Audrey Richardson,Male,36-50,Stephanieshire,West,Silver
CUS0191,Emily Lawrence,Other,51+,Port Paul,East,Bronze
CUS0192,Ray Salinas,Other,26-35,New Elizabeth,East,Platinum
CUS0193,Ashley Smith,Male,18-25,Stewartport,North,Silver
CUS0194,Kathryn Bryant,Female,36-50,Dustinton,East,Platinum
CUS0195,Ellen Mooney,Other,26-35,West Wendyshire,West,Gold
CUS0196,Ronald Simpson,Female,18-25,Brownmouth,North,Gold
CUS0197,Mitchell Charles,Female,51+,Lake Jill,South,Silver
CUS0198,Patty Gates,Other,26-35,Evansburgh,North,Platinum
CUS0199,Kimberly Rogers DDS,Male,51+,Katherinefurt,East,Gold
CUS0200,Nicholas Campbell,Other,18-25,Lake Melissa,East,Silver
CUS0201,Carlos Goodwin,Male,51+,Port Sarahport,North,Silver
CUS0202,Christopher Taylor,Other,26-35,Carterberg,West,Gold
CUS0203,Robert Gonzalez,Male,26-35,West Jessicashire,North,Silver
CUS0204,Richard Garrison,Female,26-35,Clementschester,West,Bronze
CUS0205,Carol Brown,Other,51+,Terriburgh,South,Gold
CUS0206,Autumn Robertson,Female,51+,Brittneyberg,East,Platinum
CUS0207,Jennifer Johnson,Male,18-25,South Tracy,North,Silver
CUS0208,Tiffany Delgado,Other,18-25,Parsonsland,South,Bronze
CUS0209,Sharon Santos,Female,26-35,Cynthiamouth,West,Bronze
CUS0210,Bryan Miller,Female,51+,Mayhaven,North,Gold
CUS0211,Kevin Archer,Other,36-50,Hillville,East,Gold
CUS0212,Catherine Washington,Other,51+,Evansberg,West,Silver
CUS0213,Arthur Stout,Female,51+,South Lisa,East,Gold
CUS0214,Justin Herrera,Male,18-25,Brownshire,South,Silver
CUS0215,Sabrina Pearson,Female,26-35,Lake Priscilla,North,Silver
CUS0216,Kyle White,Other,51+,Mcbrideville,West,Bronze
CUS0217,Kenneth Delgado,Female,36-50,New Jonathanton,West,Gold
CUS0218,Caleb Evans,Male,26-35,South Tiffany,East,Platinum
CUS0219,Danielle Williams,Male,36-50,Donnamouth,South,Bronze
CUS0220,John Edwards,Male,18-25,Catherinehaven,South,Silver
CUS0221,Brett Weiss,Other,51+,North Jacob,North,Silver
CUS0222,Ronnie Bernard,Male,26-35,New Michael,North,Silver
CUS0223,Marcus Jones,Female,51+,Jorgeburgh,West,Gold
CUS0224,Bradley King,Male,51+,Bentleyberg,West,Platinum
CUS0225,Andrea Oconnor,Male,51+,Lake Nathan,East,Silver
CUS0226,Samantha Jacobs,Female,26-35,Underwoodmouth,West,Platinum
CUS0227,Jessica Johnson DDS,Male,26-35,West Davidville,South,Bronze
CUS0228,Jennifer Murphy,Other,51+,West Reginaview,West,Silver
CUS0229,Robert Hill,Female,51+,South Tiffanybury,North,Bronze
CUS0230,Brian Frost,Female,26-35,New Jessica,South,Silver
CUS0231,Roberto Burns,Female,36-50,Jackieport,East,Platinum
CUS0232,Lisa Mosley,Male,36-50,West Stacey,West,Silver
CUS0233,Gregory Figueroa,Male,26-35,Woodsberg,West,Platinum
CUS0234,Michael Reeves,Other,18-25,East Nicholas,North,Gold
CUS0235,Amy Swanson,Female,26-35,Jasminebury,East,Gold
CUS0236,Jennifer Ellis,Other,51+,Andersenmouth,South,Bronze
CUS0237,Desiree Patterson,Male,51+,West Cynthia,South,Silver
CUS0238,Eric Townsend,Male,36-50,Lake Christopherbury,West,Bronze
CUS0239,Carmen Brown,Female,26-35,Angelafort,East,Bronze
CUS0240,Alexandra Vaughan,Other,26-35,South Tyler,East,Gold
CUS0241,Megan Patel,Female,36-50,South Alexanderborough,West,Silver
CUS0242,Nichole Klein,Other,51+,Johnhaven,West,Bronze
CUS0243,Amanda West,Female,18-25,Lake Sarah,North,Platinum
CUS0244,Stephanie Thompson,Female,18-25,Maryhaven,East,Platinum
CUS0245,Anthony Simpson,Other,36-50,West Tara,West,Platinum
CUS0246,Michael Decker,Male,51+,West Kevinport,East,Platinum
CUS0247,Aaron Welch,Other,18-25,Robinsonport,East,Gold
CUS0248,Tina Robertson,Other,36-50,South Patriciafort,West,Platinum
CUS0249,Aaron Stevens,Other,26-35,Michaeltown,South,Silver
CUS0250,Nathan Morales,Other,26-35,North Ryanborough,North,Silver
CUS0251,Jose Hernandez,Female,36-50,South Adamview,East,Platinum
CUS0252,James Evans,Other,51+,Mcclainside,North,Bronze
CUS0253,Ashley Gonzales,Other,51+,Martinstad,South,Silver
CUS0254,Abigail Stephenson,Other,36-50,North Jake,East,Gold
CUS0255,James Manning,Male,51+,,East,Bronze
CUS0256,Victoria Wilson,Female,51+,Pierceberg,North,Gold
CUS0257,Phillip Macias,Male,18-25,,North,Silver
CUS0258,Beth Cooper,Other,18-25,Port Gabrielleton,South,Silver
CUS0259,Gloria Bray,Other,18-25,South Timothyport,North,Silver
CUS0260,Dr. David Hernandez,Other,51+,,North,Platinum
CUS0261,Dennis Haynes,Male,26-35,Gonzalezville,South,Gold
CUS0262,Kathryn White,Female,18-25,East David,East,Bronze
CUS0263,Donald Lee,Male,18-25,South Andres,North,Gold
CUS0264,Sean James,Male,26-35,Isabelbury,West,Gold
CUS0265,Jeffery Brown,Male,36-50,Schneiderport,West,Platinum
CUS0266,Jack Hahn,Male,26-35,Wrightton,West,Platinum
CUS0267,Aaron Guerrero,Male,51+,Jasonfort,North,Gold
CUS0268,Lawrence Jordan,Female,36-50,Stacystad,West,Gold
CUS0269,Brian Caldwell,Female,36-50,West Michael,East,Platinum
CUS0270,Natalie Chapman,Female,36-50,Johnview,East,Gold
CUS0271,James Eaton,Male,36-50,Lake Julia,East,Silver
CUS0272,Kevin Barr,Other,51+,East Janet,South,Bronze
CUS0273,Angela Payne,Female,18-25,Kevinfort,East,Gold
CUS0274,Christina Le MD,Female,18-25,South Andrea,South,Gold
CUS0275,Shawn Castaneda,Male,36-50,Patriciamouth,South,Gold
CUS0276,Autumn Graham,Male,18-25,Barneshaven,West,Silver
CUS0277,Carol Hill,Male,51+,West Brandon,East,Bronze
CUS0278,Rebecca Benson,Male,26-35,Simpsonside,North,Gold
CUS0279,Valerie Martin,Female,51+,Hartfurt,East,Gold
CUS0280,Devon White,Female,26-35,New Jeffery,North,Silver
CUS0281,Sherry Gibbs,Male,26-35,Gordonhaven,West,Platinum
CUS0282,Samuel Phillips,Other,36-50,Andreaburgh,West,Silver
CUS0283,Joseph Carter,Male,26-35,West Sara,East,Bronze
CUS0284,Richard Day,Male,36-50,Port Jason,South,Silver
CUS0285,Matthew Chen,Other,18-25,Markside,South,Gold
CUS0286,Casey Villanueva,Female,18-25,Markton,South,Silver
CUS0287,Alexandra Kelly,Female,26-35,Gregorytown,East,Bronze
CUS0288,Veronica Osborne,Other,36-50,Lake Juliefurt,North,Silver
CUS0289,Dawn Sims,Other,18-25,Port Scott,North,Gold
CUS0290,Damon Soto,Other,26-35,Moorebury,East,Platinum
CUS0291,Jessica Hernandez,Other,36-50,Davisburgh,North,Bronze
CUS0292,Robert Thompson,Female,51+,Hardingburgh,East,Bronze
CUS0293,Alisha Martin,Male,26-35,Port Phillip,South,Gold
CUS0294,Andrea Jones,Female,51+,South Regina,North,Bronze
CUS0295,Ariel Rose,Other,18-25,New Coryfurt,North,Silver
CUS0296,Ronald Hines,Female,26-35,East Johnland,East,Gold
CUS0297,Todd Greene,Female,18-25,Port Danielmouth,South,Silver
CUS0298,Angela Taylor,Other,51+,Ochoaport,South,Platinum
CUS0299,Christopher Brown,Female,51+,Courtneyville,North,Silver
CUS0300,Andrew Stephens,Female,26-35,New Oliviachester,East,Silver
