CustomerID,CustomerName,Region,LoyaltyTier
CUS0117,Robert Parker,North,Platinum
CUS0118,Kenneth Jackson,East,Platinum
CUS0119,Mario Gould,North,Silver
CUS0120,Erin Jacobs,North,Bronze
CUS0121,Nathan Lang,West,Bronze
CUS0122,Michael Barr,North,Bronze
CUS0123,Kristen Pena,North,Silver
CUS0124,Heidi Gonzalez,South,Silver
CUS0125,Joseph Heath,South,Bronze
CUS0126,Robert Lozano,South,Gold
CUS0127,Daniel Quinn,East,Platinum
CUS0128,Amanda Smith,South,Bronze
CUS0129,Ashley Sanders,West,Silver
CUS0130,Mr. Eric Hall,South,Bronze
CUS0131,Danielle Nelson,East,Gold
CUS0132,Richard Rios,West,Bronze
CUS0133,Patrick Nelson,North,Platinum
CUS0134,Benjamin Bowen,North,Platinum
CUS0135,Jennifer Smith,North,Gold
CUS0136,Lisa Hernandez,East,Bronze
CUS0137,Rebecca Lee,East,Silver
CUS0138,Emily Morris,North,Bronze
CUS0139,Allison Hill,South,Bronze
CUS0140,Dennis Douglas,South,Platinum
CUS0141,Eddie Davis,North,Bronze
CUS0142,Kristina Webb,West,Gold
CUS0143,Kim Sanchez,North,Bronze
CUS0144,Jonathan Long,East,Gold
CUS0145,Joshua Rodriguez,West,Bronze
CUS0146,William Sanders,North,Platinum
CUS0147,Jacob Hart,North,Gold
CUS0148,Evelyn Pacheco,North,Silver
CUS0149,Anna Jackson,East,Platinum
CUS0150,Katherine Wright,East,Gold
CUS0151,Luis Wells,East,Gold
CUS0152,Lacey Hall,North,Platinum
CUS0153,Darlene Collins,North,Gold
CUS0154,Chris Morris,North,Platinum
CUS0155,Jennifer Smith,South,Platinum
CUS0156,Nicole Norton,East,Gold
CUS0157,Emily Pearson,West,Platinum
CUS0158,Michael Robertson,South,Gold
CUS0159,Wendy Miller,North,Platinum
CUS0160,Michael Bennett,East,Silver
CUS0161,Carla Goodman,East,Bronze
CUS0162,Jeffrey Stanton,East,Silver
CUS0163,Jeff Jackson,North,Gold
CUS0164,Katelyn Curry,East,Platinum
CUS0165,Jennifer Phillips,West,Platinum
CUS0166,Edward Weeks,South,Gold
CUS0167,Kelly Gilbert,South,Gold
CUS0168,Matthew Thomas,West,Platinum
CUS0169,Christine Mendez,West,Bronze
CUS0170,Kelly King,East,Silver
CUS0171,Timothy Ho,North,Bronze
CUS0172,Sarah Taylor,West,Gold
CUS0173,Sandra Smith,West,Silver
CUS0174,Chris Jones,West,Bronze
CUS0175,Emily Lopez,West,Gold
CUS0176,Kimberly Rivera,West,Gold
CUS0177,John Moore,North,Silver
CUS0178,Justin Perez,West,Silver
CUS0179,Tanya Hill,West,Platinum
CUS0180,Shawna Silva,North,Bronze
CUS0181,Marcus Powell,West,Platinum
CUS0182,Joshua Hopkins,South,Platinum
CUS0183,Christian Cross,West,Bronze
CUS0184,Dennis Garcia,South,Gold
CUS0185,Laurie Miranda,South,Gold
CUS0186,Raymond Vargas,West,Platinum
CUS0187,Robert Savage,West,Bronze
CUS0188,Kara Jackson,North,Platinum
CUS0189,Virginia Davis,East,Platinum
CUS0190,Brianna Martin,South,Platinum
CUS0191,Erica Huang,West,Gold
CUS0192,Jorge Gonzales,North,Silver
CUS0193,Erin Mason,North,Gold
CUS0194,Justin Bennett,West,Silver
CUS0195,John Collins,South,Bronze
CUS0196,Kerry Ware,South,Gold
CUS0197,Tina Dougherty,South,Gold
CUS0198,Michelle Larsen,South,Silver
CUS0199,Katherine Mccormick,East,Silver
CUS0200,Kristin Graham,East,Platinum
CUS0201,Alexander Diaz,North,Bronze
CUS0202,Michael Chandler,East,Gold
CUS0203,Justin Cuevas,West,Bronze
CUS0204,Janet White,West,Silver
CUS0205,Alexandra Ramos,North,Gold
CUS0206,Abigail Collins,North,Gold
CUS0207,Jacob King,South,Bronze
CUS0208,Lisa Johnson,East,Silver
CUS0209,John Williams,East,Silver
CUS0210,Dawn Garrett,North,Silver
CUS0211,Samantha Roy,North,Gold
CUS0212,Yolanda Chen,East,Platinum
CUS0213,John Golden DDS,North,Gold
CUS0214,Amanda Johnson,South,Gold
CUS0215,Brittany Fitzgerald,South,Silver
CUS0216,Bonnie Barnes,South,Silver
CUS0217,Amy Walsh,North,Bronze
CUS0218,Brent Stephens,North,Silver
CUS0219,Mrs. Lisa Smith,East,Gold
CUS0220,Sarah Stewart,South,Bronze
CUS0221,Susan Matthews,East,Bronze
CUS0222,Kelli Shepard,East,Bronze
CUS0223,Ryan Caldwell,West,Silver
CUS0224,Roger Mason,East,Silver
CUS0225,Angela Ramos,West,Platinum
CUS0226,Craig Wagner,South,Gold
CUS0227,Paul Massey,North,Silver
CUS0228,Donald Bell,North,Bronze
CUS0229,Keith Horton,West,Silver
CUS0230,Julie Wilson,South,Bronze
CUS0231,Nicholas Lopez,South,Platinum
CUS0232,Tracy Wang,North,Bronze
CUS0233,Claudia Brooks,North,Bronze
CUS0234,Nathaniel Wright,West,Silver
CUS0235,Maria Valenzuela,East,Silver
CUS0236,Peter Anderson,West,Gold
CUS0237,Michael Thompson,West,Platinum
CUS0238,Ethan Perez,South,Gold
CUS0239,Stephen Thompson,East,Platinum
CUS0240,Michael Baker,West,Gold
CUS0241,Kenneth Bailey DDS,East,Silver
CUS0242,Mark Decker,West,Silver
CUS0243,Ruben Cruz,East,Silver
CUS0244,Christine Park,South,Platinum
CUS0245,Robert Hogan,South,Gold
CUS0246,Michael Gordon,East,Gold
CUS0247,Rebecca Davis,South,Silver
CUS0248,Deanna Mcdonald,East,Silver
CUS0249,Brian Barrett,East,Bronze
CUS0250,Charles Willis,North,Platinum
CUS0251,James Chapman,South,Bronze
CUS0252,Michael Soto,East,Bronze
CUS0253,Aimee Fisher,South,Gold
CUS0254,Matthew Garcia,East,Gold
CUS0255,Elizabeth Owens,South,Silver
CUS0256,Alex Lamb,West,Silver
CUS0257,Kenneth Graham,North,Gold
CUS0258,Roy King,West,Platinum
CUS0259,George Gregory,West,Platinum
CUS0260,Wesley Rich,West,Platinum
CUS0261,Stephanie Hunter,North,Silver
CUS0262,Raymond Finley,West,Gold
CUS0263,Allen Hunt,East,Platinum
CUS0264,Stacie Sanford,North,Silver
CUS0265,Christina Compton,North,Platinum
CUS0266,Beverly Cook,East,Silver
CUS0267,Tracy Parker,North,Silver
CUS0268,Rebecca Ellis,West,Gold
CUS0269,Aaron Hernandez,South,Bronze
CUS0270,Elizabeth Miller,East,Silver
CUS0271,Dalton Davis,West,Silver
CUS0272,Michael Singleton,North,Bronze
CUS0273,John Cooper,West,Gold
CUS0274,Michael Hale,North,Gold
CUS0275,Mary Guerra,East,Silver
CUS0276,Pamela Davis,North,Bronze
CUS0277,Phillip Anderson,North,Platinum
CUS0278,Stephanie Weiss,North,Gold
CUS0279,Jessica Long,East,Gold
CUS0280,John Yang,South,Platinum
CUS0281,Connie Franklin,East,Gold
CUS0282,Jackie Morgan,West,Gold
CUS0283,Lisa Walton,East,Silver
CUS0284,Maria Taylor,South,Bronze
CUS0285,Daniel Graham,West,Bronze
CUS0286,Matthew Simmons,North,Gold
CUS0287,James Nicholson,South,Silver
CUS0288,Tyler Fisher,South,Gold
CUS0289,Michael Flowers,West,Silver
CUS0290,Bradley Parks,West,Platinum
CUS0291,Scott Lara,North,Bronze
CUS0292,Francis Andrews,North,Bronze
CUS0293,Jesse Tucker,South,Gold
CUS0294,Jennifer Wise,South,Gold
CUS0295,David Walters,East,Platinum
CUS0296,Rebekah Cole,East,Gold
CUS0297,John Rogers,West,Bronze
CUS0298,Holly Floyd,North,Platinum
CUS0299,Ms. Janet Leonard,West,Bronze
CUS0300,George Villa,South,Bronze
CUS0301,Christina Hess,East,Silver
CUS0302,Jordan Williams,West,Gold
CUS0303,Bryan Burns,South,Platinum
CUS0304,Stephen Parks,West,Silver
CUS0305,George Phillips,South,Platinum
CUS0306,Kimberly White,East,Bronze
CUS0307,Alan Nguyen,South,Silver
CUS0308,Linda Howard,North,Silver
CUS0309,Parker Wright,South,Silver
CUS0310,Brandon Acosta,South,Gold
CUS0311,Jessica Hill,East,Bronze
CUS0312,Melissa Sanchez,West,Bronze
CUS0313,Sandy Oconnor,East,Platinum
CUS0314,Judy Jones,South,Bronze
CUS0315,Charles Davila,East,Silver
CUS0316,Sonia Reyes,West,Platinum
CUS0317,Mrs. Tammy Curry,East,Platinum
CUS0318,Alex Clements,West,Platinum
CUS0319,Matthew Andrade,East,Bronze
CUS0320,Jessica Wilson,West,Bronze
CUS0321,Dean Turner,South,Platinum
CUS0322,Sarah Sanchez,West,Platinum
CUS0323,Jacqueline Kennedy,East,Platinum
CUS0324,Jessica Burgess,North,Bronze
CUS0325,Destiny Powers,West,Platinum
CUS0326,Susan Gregory,South,Silver
CUS0327,Jason Smith,South,Bronze
CUS0328,Carlos Adams,South,Silver
CUS0329,Vanessa Flores,North,Silver
CUS0330,Albert Nguyen,West,Silver
CUS0331,Dwayne Joseph,West,Gold
CUS0332,Leah Walters,West,Silver
CUS0333,James Spears,West,Gold
CUS0334,Gilbert Reed,South,Silver
CUS0335,Joel Newton,South,Bronze
CUS0336,Michael Chambers,East,Gold
CUS0337,Andrew Phelps,West,Silver
CUS0338,Lynn Hoffman,North,Platinum
CUS0339,Daniel Mercer,West,Platinum
CUS0340,Edgar Stewart,North,Gold
CUS0341,Alyssa Weber,East,Silver
CUS0342,Guy Reynolds,North,Silver
CUS0343,Allison Mcpherson DDS,South,Gold
CUS0344,David Morse Jr.,East,Silver
CUS0345,Sarah Davis,East,Gold
CUS0346,Willie Duncan,North,Bronze
CUS0347,Christopher Waters,East,Platinum
CUS0348,Jennifer Ortiz,East,Bronze
CUS0349,Jennifer Greene,South,Gold
CUS0350,Jack Garcia,South,Bronze
CUS0351,Toni Gill,North,Platinum
CUS0352,Joseph Myers,South,Platinum
CUS0353,Kathleen Marshall,North,Platinum
CUS0354,Joanna Bradshaw,North,Gold
CUS0355,Dylan Patel,South,Platinum
CUS0356,John Jackson,East,Bronze
CUS0357,Janet Delgado,North,Platinum
CUS0358,Jennifer Fields,East,Gold
CUS0359,Brenda Harvey,East,Gold
CUS0360,Ms. Monique Dougherty MD,East,Silver
CUS0361,Keith Kennedy,North,Silver
CUS0362,Jacob Paul,West,Silver
CUS0363,Martha Arnold,North,Silver
CUS0364,Sarah Martin,West,Silver
CUS0365,Shaun Thompson,West,Gold
CUS0366,Tammy Morris,West,Silver
CUS0367,Steven Clark,West,Platinum
CUS0368,David Morrison,West,Platinum
CUS0369,Rebecca Kaufman DDS,West,Platinum
CUS0370,Larry Rivera,West,Gold
CUS0371,Caitlin Ford,South,Gold
CUS0372,Adriana Johnson,West,Bronze
CUS0373,Sharon Cowan,South,Gold
CUS0374,Andrea Butler,North,Platinum
CUS0375,Mike Martinez,East,Bronze
CUS0376,Maria Ferguson,East,Silver
CUS0377,John Barber,North,Gold
CUS0378,James Short,South,Platinum
CUS0379,Heidi Moran,West,Silver
CUS0380,Marie Patterson,South,Silver
CUS0381,Charles Baker,North,Platinum
CUS0382,Nicole Rodriguez,West,Bronze
CUS0383,Jason Morgan,East,Bronze
CUS0384,Rebecca Clark,North,Bronze
CUS0385,Martin Jones,North,Bronze
CUS0386,Katherine Sanchez,South,Bronze
CUS0387,Edward Wallace,East,Gold
CUS0388,Melissa Carroll,North,Gold
CUS0389,Pam Hernandez,East,Silver
CUS0390,Daniel Wood,South,Platinum
CUS0391,Eddie Duffy,East,Platinum
CUS0392,Mark Alvarez,South,Bronze
CUS0393,Edward Manning,East,Bronze
CUS0394,Bridget Carter,North,Bronze
CUS0395,Mark Johnson,West,Bronze
CUS0396,Eric Silva,West,Gold
CUS0397,Nathan Mcgee,West,Bronze
CUS0398,Jennifer Montgomery MD,East,Bronze
CUS0399,Christopher Farrell,East,Platinum
CUS0400,James Grimes,South,Bronze
