CustomerID,CustomerName,Gender,AgeGroup,City,Region,LoyaltyTier,CustomerSince
CUS0093,Anna Adams,Male,18-25,Steveberg,East,Gold,2023-04-23
CUS0094,Melissa Lee,Other,18-25,Wendyhaven,North,Bronze,2021-12-03
CUS0095,Dr. Chelsea Blake MD,Female,51+,Allenmouth,West,Silver,2022-12-27
CUS0096,Karen Wiggins PhD,Male,36-50,West Nancyhaven,South,Bronze,2026-07-28
CUS0097,Tiffany Grant,Other,51+,Christopherland,North,Platinum,2025-07-13
CUS0098,Joanne Johnson,Male,18-25,Kennedychester,East,Silver,2026-06-27
CUS0099,Samantha Wilson,Other,18-25,Port Melanieport,East,Platinum,2023-03-15
CUS0100,Cheryl Preston,Female,26-35,West Marcus,East,Silver,2021-09-09
CUS0101,Isaac Sanchez,Other,26-35,Port Jessica,South,Bronze,2021-10-24
CUS0102,Travis Wolfe,Male,36-50,Murphyland,North,Platinum,2023-02-06
CUS0103,Lisa Sweeney,Female,51+,Ruizbury,East,Platinum,2022-02-14
CUS0104,April Patterson,Male,36-50,West Andrea,South,Gold,2022-07-30
CUS0105,Derek Livingston,Female,26-35,Kristopherfurt,West,Silver,2025-08-22
CUS0106,Rachel Golden,Other,51+,South Vincent,North,Platinum,2022-10-26
CUS0107,Sandra Bird,Other,26-35,Jennifershire,South,Silver,2024-03-03
CUS0108,Matthew Galvan,Other,18-25,Port David,North,Gold,2023-09-12
CUS0109,Corey Taylor,Male,26-35,,South,Gold,2023-01-05
CUS0110,Lauren Thomas,Male,18-25,Port Charles,East,Bronze,2024-09-11
CUS0111,Jeremy Krueger,Female,51+,Brendanfort,East,Bronze,2024-05-03
CUS0112,Kenneth Rojas,Other,51+,Taylorville,East,Gold,2022-02-13
CUS0113,Cindy Hernandez,Other,36-50,New Katherine,South,Silver,2026-06-22
CUS0114,Sydney Garcia,Female,18-25,Port Elizabethstad,West,Platinum,2024-09-25
CUS0115,Katherine Simmons,Other,18-25,Hansenton,East,Gold,2025-03-28
CUS0116,Kayla Dodson,Male,18-25,West Jessicatown,West,Gold,2021-09-06
CUS0117,Melanie Terry,Other,36-50,Meyerland,West,Platinum,2025-08-21
CUS0118,Bailey Booth,Male,36-50,Jasonbury,West,Bronze,2023-09-19
CUS0119,Katherine Gonzalez,Female,18-25,Lake Nicoleville,North,Silver,2026-03-01
CUS0120,Kenneth Harvey,Male,51+,New Christopher,East,Platinum,2025-01-15
CUS0121,Tracy Carlson,Female,26-35,New Michellebury,East,Platinum,2023-07-14
CUS0122,Mason Stewart,Male,36-50,,North,Bronze,2025-10-01
CUS0123,Elizabeth Walters,Female,26-35,Johnsonshire,East,Silver,2026-07-25
CUS0124,Victoria Fisher,Male,51+,North Katelynmouth,North,Silver,2026-01-31
CUS0125,Claire Harmon,Male,51+,New Paulborough,West,Silver,2024-09-01
CUS0126,Ryan Gonzalez,Male,51+,Patriciafort,North,Platinum,2022-09-06
CUS0127,Samuel Gutierrez,Female,18-25,West Jamesborough,East,Bronze,2025-08-22
CUS0128,Dr. Heather White,Male,51+,Tammyburgh,South,Gold,2026-04-01
CUS0129,Yolanda Payne,Male,26-35,Port Laurenfort,East,Silver,2021-11-12
CUS0130,Juan Haynes,Female,26-35,Michaelville,East,Silver,2025-01-14
CUS0131,Christine Robbins,Other,51+,Port Masonmouth,West,Gold,2025-05-28
CUS0132,Rachael Garcia,Other,18-25,West James,South,Silver,2022-02-19
CUS0133,Jose Parsons,Female,18-25,Lake Randyfurt,West,Bronze,2024-02-13
CUS0134,Lori Gregory,Other,51+,Erichaven,North,Silver,2026-03-08
CUS0135,Jonathan Cherry,Male,36-50,West Heatherborough,North,Bronze,2024-08-28
CUS0136,Adrian Barajas,Male,26-35,West Kim,West,Silver,2025-07-23
CUS0137,Erika Palmer,Female,18-25,New Jennifer,West,Silver,2026-06-01
CUS0138,John Lewis,Male,36-50,,North,Platinum,2022-05-30
CUS0139,Juan Peters,Male,36-50,Aprilborough,West,Gold,2025-01-30
CUS0140,Joseph Valentine,Male,26-35,Port Jacobtown,West,Platinum,2025-03-27
CUS0141,Matthew Glass,Male,36-50,West Brianland,North,Gold,2024-05-25
CUS0142,Ryan Hughes,Other,36-50,Johnstown,East,Silver,2021-11-01
CUS0143,Robert Torres,Other,26-35,Lake Melissaberg,North,Gold,2025-01-12
CUS0144,Katie Garcia,Male,36-50,Erikaburgh,West,Silver,2023-03-25
CUS0145,Melissa Cruz,Other,36-50,,North,Bronze,2022-01-14
CUS0146,Timothy Alvarado,Male,36-50,Brownton,North,Gold,2024-09-08
CUS0147,Barbara Thomas,Female,36-50,Danielchester,East,Bronze,2022-03-12
CUS0148,SAMUEL ROBERTSON,Female,26-35,East John,North,Silver,2025-02-20
CUS0149,Nicole Reilly,Female,26-35,Lake Robert,East,Platinum,2022-01-11
CUS0150,Robert Gutierrez,Other,18-25,Zacharyton,North,Platinum,2021-08-29
CUS0151,Michael Robinson,Female,26-35,North Robertshire,East,Gold,2025-09-29
CUS0152,Jacob Benitez,Other,18-25,Bullockburgh,North,Silver,2022-10-01
CUS0153,Rebecca Rollins,Other,26-35,Wagnerville,South,Silver,2023-02-08
CUS0154,James Jackson,Male,26-35,Lake Tommyton,South,Platinum,2023-03-17
CUS0155,Michael Heath,Male,26-35,West Jessicastad,South,Platinum,2021-09-08
CUS0156,Tamara Cordova,Female,36-50,New Danielle,East,Gold,2023-10-25
CUS0157,Christian Cisneros,Other,18-25,Whitetown,East,Bronze,2025-02-14
CUS0158,John Ashley Jr.,Other,26-35,Port Sharonshire,West,Bronze,2022-01-17
CUS0159,Hannah Murray,Other,36-50,West Matthewland,West,Gold,2024-05-21
CUS0160,Michelle Tyler,Other,36-50,New Roger,North,Silver,2022-11-16
CUS0161,Chad Webb,Male,26-35,New Kevin,East,Bronze,2022-12-18
CUS0162,Tammy Santiago,Male,36-50,Lake Fernandoberg,North,Silver,2024-09-17
CUS0163,Judy Jackson,Male,51+,Kimberlybury,West,Platinum,2025-03-20
CUS0164,Erik Rogers,Female,26-35,Blackville,North,Bronze,2026-07-20
CUS0165,Eddie Benjamin,Other,26-35,Taylorstad,West,Platinum,2022-10-11
CUS0166,Stephen Ramirez,Other,36-50,East Alexisville,North,Silver,2022-03-18
CUS0167,Jeff Wall,Female,18-25,North Julian,East,Silver,2023-12-16
CUS0168,Michael Rhodes,Other,26-35,Matthewberg,North,Gold,2025-04-26
CUS0169,Tracy Johnson,Male,36-50,South Brian,North,Gold,2023-03-03
CUS0170,Marcus Santos,Female,26-35,Dominguezstad,East,Gold,2023-08-25
CUS0171,Maria Torres,Male,18-25,East Michaelmouth,North,Gold,2025-01-29
CUS0172,Lisa James,Other,26-35,Lake Seth,North,Bronze,2023-08-26
CUS0173,Jason Johnson,Female,26-35,South Danielville,East,Platinum,2024-09-15
CUS0174,Ernest Barrett,Other,51+,Cynthiaberg,North,Bronze,2021-11-16
CUS0175,Stephen Kramer,Female,51+,Olsentown,West,Gold,2025-04-13
CUS0176,Tyler Wood,Other,26-35,East Deborah,East,Platinum,2026-03-01
CUS0177,Juan Morton,Other,26-35,East Daniel,West,Silver,2026-02-02
CUS0178,Jessica Sullivan,Male,18-25,Parkerport,West,Gold,2026-03-04
CUS0179,John Freeman,Other,18-25,New Wendyshire,West,Silver,2023-04-16
CUS0180,Brian Wood,Female,51+,Andersonshire,East,Gold,2021-12-12
CUS0181,Bruce Holland,Female,18-25,Smithfurt,West,Bronze,2023-02-23
CUS0182,Sergio Ramsey,Male,18-25,Matthewhaven,South,Bronze,2024-04-26
CUS0183,Michelle Yang,Female,51+,South Chad,North,Platinum,2023-01-17
CUS0184,Kathleen Lin,Female,36-50,West Debbiemouth,East,Platinum,2024-10-05
CUS0185,William Kirk,Female,18-25,Crystalview,West,Silver,2021-11-22
CUS0186,John Green,Female,26-35,Georgeport,North,Bronze,2026-04-20
CUS0187,Roger Sullivan,Other,26-35,Kruegerport,North,Bronze,2023-03-09
CUS0188,Rachel Navarro,Other,36-50,North Amandaland,West,Platinum,2023-09-02
CUS0189,Nancy Love,Other,36-50,West Madison,North,Silver,2023-12-14
CUS0190,Jessica Holmes,Male,51+,Nicholasberg,South,Gold,2023-12-12
CUS0191,William May,Male,36-50,Lake Zacharyhaven,West,Platinum,2022-03-03
CUS0192,Gabriel Mitchell,Other,51+,Port Matthew,East,Silver,2024-10-06
CUS0193,Heather Stanley,Other,51+,Walshtown,South,Platinum,2025-03-29
CUS0194,Michelle Alvarez,Male,26-35,Mayport,East,Platinum,2024-10-12
CUS0195,Wayne Johnson,Female,26-35,North Toddville,North,Platinum,2025-07-02
CUS0196,Christian Jackson,Female,36-50,Brianaville,North,Bronze,2024-10-25
CUS0197,Kristen Reyes,Male,18-25,West Brian,South,Gold,2023-06-20
CUS0198,Suzanne Martin,Female,36-50,South Taylorside,South,Silver,2023-05-31
CUS0199,Thomas Powell,Female,36-50,Port Natasha,North,Silver,2022-12-27
CUS0200,Christopher Garner,Other,26-35,North Jack,South,Silver,2021-11-26
CUS0201,Jason Conway,Male,26-35,Williamsburgh,West,Bronze,2023-07-08
CUS0202,Antonio Poole,Female,26-35,Lake Joshuamouth,East,Bronze,2023-09-24
CUS0203,Jocelyn Hall,Male,18-25,West Arthur,North,Bronze,2024-06-30
CUS0204,Valerie Navarro MD,Other,51+,Port Harry,East,Gold,2023-07-05
CUS0205,Nicholas Williams,Female,26-35,Lozanoville,East,Silver,2024-12-27
CUS0206,Gabriella Weaver,Female,36-50,Josephstad,West,Bronze,2022-04-12
CUS0207,Kevin Baker,Other,26-35,Lake Anthonyton,East,Platinum,2025-08-05
CUS0208,Amanda Hudson,Male,18-25,Powellton,North,Silver,2023-02-16
CUS0209,Jennifer Sanchez,Male,51+,North Mary,West,Gold,2022-03-31
CUS0210,Julie Martinez,Other,18-25,Kennedyburgh,West,Bronze,2026-01-25
CUS0211,George Jordan,Female,36-50,North Stacy,South,Bronze,2025-01-06
CUS0212,Steven White,Male,26-35,Serranoport,South,Silver,2022-09-23
CUS0213,Amber Gibson,Male,51+,East Douglas,North,Silver,2023-12-19
CUS0214,Tiffany Berg,Male,26-35,Lake Ricardo,North,Silver,2026-04-11
CUS0215,Nicholas Johnson,Male,36-50,Ayalafort,East,Gold,2024-12-17
CUS0216,Tina Whitehead,Other,51+,North Daleborough,West,Bronze,2021-10-24
CUS0217,Michael Carpenter,Male,51+,New Jeffrey,North,Bronze,2026-03-26
CUS0218,Daniel Snyder,Male,26-35,West Justinhaven,North,Bronze,2025-08-18
CUS0219,David Lopez,Female,26-35,Andreafurt,East,Bronze,2024-05-16
CUS0220,Donald Rodriguez,Male,26-35,South Daniel,West,Platinum,2025-03-29
CUS0221,Mark Anderson,Other,51+,East Donna,East,Platinum,2024-06-25
CUS0222,Bryan Henson,Female,51+,Jonesfurt,West,Silver,2024-09-09
CUS0223,Amanda Wells,Female,36-50,Jonesberg,South,Silver,2026-06-09
CUS0224,Mary Wong,Male,18-25,Josephland,South,Gold,2024-07-24
CUS0225,Robert Gonzalez,Male,26-35,Camachoburgh,East,Gold,2024-09-18
CUS0226,Tim Johnson,Female,51+,East Manuelburgh,South,Platinum,2022-10-30
CUS0227,Cody Mullins,Other,26-35,Contrerasmouth,East,Bronze,2026-07-10
CUS0228,Alexandra Medina,Male,51+,Monicaland,North,Gold,2024-07-21
CUS0229,Jared Mullins,Female,26-35,East Michelle,North,Bronze,2024-12-27
CUS0230,Mr. Brian Olsen,Other,36-50,Danielstad,West,Gold,2024-08-22
CUS0231,Jesse Hogan,Male,26-35,South Candiceberg,West,Platinum,2025-06-08
CUS0232,Ryan Thomas,Male,51+,Johnview,South,Platinum,2022-01-01
CUS0233,Richard Mendoza,Female,26-35,Millerfurt,West,Platinum,2023-07-05
CUS0234,Mr. David Mcintyre,Other,26-35,Maryhaven,North,Bronze,2026-07-01
CUS0235,Jessica Smith,Other,36-50,East Wendy,East,Gold,2023-01-20
CUS0236,Morgan Lang,Female,18-25,Dixonfurt,North,Silver,2025-11-13
CUS0237,Roy Johnston,Male,36-50,Perryfurt,East,Silver,2023-07-20
CUS0238,Kimberly Johnson,Male,51+,Robertbury,North,Gold,2021-11-26
CUS0239,Robert Washington,Other,51+,,North,Gold,2025-01-30
CUS0240,Alexis Ruiz,Other,36-50,New Ericton,South,Gold,2022-10-25
CUS0241,Robert Baker,Other,51+,East Lindaport,South,Silver,2023-11-18
CUS0242,Ronald Perez,Other,51+,Lake Douglas,South,Platinum,2023-09-03
CUS0243,Kathy Ramirez,Other,18-25,Jordanfort,West,Silver,2025-09-25
CUS0244,Beth Sanchez,Female,18-25,South Jessica,East,Platinum,2025-12-23
CUS0245,Brenda Parker,Other,36-50,Thompsonhaven,South,Gold,2022-01-27
CUS0246,Sandra Carr MD,Female,36-50,Morahaven,West,Gold,2021-10-11
CUS0247,Sabrina Johnson,Other,18-25,West Andrewborough,South,Silver,2022-10-18
CUS0248,Jessica Carney,Female,36-50,Markberg,East,Bronze,2022-07-28
CUS0249,David Price,Female,18-25,Port Dennis,North,Bronze,2025-02-21
CUS0250,Cassie Huang,Female,26-35,Port Lesliestad,North,Platinum,2022-10-31
CUS0251,Richard Long,Other,18-25,Port Morgan,West,Gold,2024-06-17
CUS0252,Dawn Davis,Male,26-35,Morganland,East,Platinum,2023-09-29
CUS0253,Carrie Haley,Other,26-35,Natashabury,West,Gold,2022-08-22
CUS0254,Robert Smith,Other,51+,Mariamouth,West,Bronze,2025-11-02
CUS0255,Jennifer Manning,Male,51+,Jonesland,North,Silver,2024-03-10
CUS0256,Steven Barrett,Other,18-25,Mooreshire,West,Gold,2022-03-29
CUS0257,Kimberly Mcpherson,Male,36-50,Saraton,East,Silver,2025-06-30
CUS0258,Jessica Neal,Male,36-50,Wendyland,East,Silver,2026-06-18
CUS0259,Omar Fisher,Male,26-35,Michaelshire,West,Platinum,2022-01-09
CUS0260,Jamie Summers,Male,51+,Sullivanburgh,West,Gold,2022-05-02
CUS0261,William Armstrong,Male,26-35,Ginaport,South,Silver,2022-10-24
CUS0262,Nancy Gonzalez,Male,26-35,Terriport,North,Silver,2024-08-30
CUS0263,Brittney Gonzalez,Female,18-25,Mcdonaldview,South,Bronze,2025-03-01
CUS0264,Christopher Garcia,Female,18-25,Lake Kevin,East,Gold,2026-06-13
CUS0265,Mitchell Garza,Female,36-50,Leehaven,East,Silver,2022-02-09
CUS0266,Rebekah Johnston,Male,36-50,West Scott,South,Bronze,2022-03-02
CUS0267,Andre Thompson,Other,18-25,Amberside,North,Platinum,2023-04-10
CUS0268,CHRISTINE JACKSON,Female,51+,North Kennethborough,East,Silver,2025-04-20
CUS0269,Vincent Stewart,Other,26-35,Dennisport,South,Silver,2026-08-05
CUS0270,Jeffrey Miller,Male,26-35,South Jerryborough,South,Platinum,2025-06-02
CUS0271,Mark Miles,Male,26-35,Michelleborough,South,Gold,2022-11-09
CUS0272,Katie Lam,Other,26-35,Kevinfort,West,Silver,2025-08-16
CUS0273,Tracey Norris,Other,26-35,North Raymond,West,Platinum,2024-04-29
CUS0274,Maria Barrera,Male,26-35,Matthewside,South,Bronze,2025-01-23
CUS0275,Jose Torres,Other,51+,Wilsonside,North,Bronze,2023-09-21
CUS0276,Veronica Avila,Female,36-50,South Juliastad,West,Gold,2026-04-27
CUS0277,Christie Mora,Male,51+,Johnchester,West,Gold,2023-05-01
CUS0278,Thomas Burch,Female,36-50,Port Jeffreymouth,East,Platinum,2025-01-31
CUS0279,Angela Garcia,Male,36-50,West Josephbury,South,Gold,2023-11-24
CUS0280,Paul Mcguire,Male,51+,South Terrence,North,Silver,2022-04-13
CUS0281,Karen Butler,Other,18-25,Sylvialand,East,Bronze,2022-07-07
CUS0282,Joseph Cannon,Female,51+,Melissafurt,East,Gold,2024-09-25
CUS0283,William Simmons,Female,18-25,Port Brian,West,Silver,2022-02-03
CUS0284,Louis Brown,Other,18-25,Lake Nicholasmouth,North,Bronze,2024-05-22
CUS0285,Jodi Paul,Other,26-35,Vaughnfort,South,Gold,2026-06-08
CUS0286,Richard Wilson,Other,36-50,Lake Michael,East,Bronze,2022-11-16
CUS0287,William Nguyen,Female,36-50,West Peterville,North,Bronze,2023-10-22
CUS0288,David Singleton,Female,36-50,Brandonmouth,West,Platinum,2022-04-10
CUS0289,George Reed,Other,26-35,,North,Silver,2024-07-15
CUS0290,Carl Peck,Male,26-35,New Michaelborough,East,Platinum,2023-09-05
CUS0291,Colleen Rivera,Male,18-25,Ethanhaven,North,Platinum,2022-07-29
CUS0292,Daniel Williamson,Female,36-50,Tuckerborough,South,Gold,2026-02-01
CUS0293,Christina Howard,Other,26-35,Christinaville,East,Gold,2025-12-22
CUS0294,Reginald Ortiz,Female,26-35,Williamfurt,South,Bronze,2025-02-20
CUS0295,Brittany Cook,Female,51+,Jeremychester,East,Platinum,2022-08-16
CUS0296,Jonathan Davis,Male,26-35,Burnettchester,North,Bronze,2023-06-29
CUS0297,Mark Harper,Female,51+,Michaelborough,West,Gold,2024-08-27
CUS0298,Renee Coleman,Male,36-50,Wayneberg,West,Bronze,2024-08-29
CUS0299,Cynthia Pham,Other,26-35,Padillahaven,East,Bronze,2023-04-22
CUS0300,Destiny Griffin,Male,51+,Lake Marissa,North,Platinum,2024-09-15
CUS0301,Angela Prince,Male,18-25,West Erikland,East,Bronze,2023-06-02
CUS0302,Shane Sawyer,Male,18-25,Fordfurt,West,Silver,2022-05-19
CUS0303,Krista Crane,Female,51+,Greenport,North,Gold,2021-10-05
CUS0304,Caitlin Santiago,Male,51+,Fieldsmouth,South,Gold,2026-07-28
CUS0305,Christina King,Female,36-50,Jordanbury,East,Platinum,2021-11-24
CUS0306,Vincent Keith,Male,26-35,Florestown,East,Platinum,2024-07-16
CUS0307,Matthew Miranda,Other,18-25,New Melissatown,North,Bronze,2024-01-26
CUS0308,Tracy Ramirez,Other,36-50,Garciaton,East,Platinum,2022-12-31
CUS0309,Amy Williams,Other,26-35,New Edward,South,Bronze,2021-11-29
CUS0310,Evan Sherman,Other,51+,New Anthony,North,Platinum,2022-07-16
CUS0311,Amanda Logan,Male,51+,West Scottmouth,East,Platinum,2022-07-11
CUS0312,Michelle Kidd,Other,36-50,Davidfort,West,Silver,2024-02-25
CUS0313,Alyssa Austin,Female,18-25,Cooperport,South,Platinum,2023-03-16
CUS0314,Diane Taylor,Other,18-25,Hallborough,North,Platinum,2025-09-25
CUS0315,Steven Walters,Male,26-35,Nicolechester,South,Platinum,2023-05-08
CUS0316,Amanda Marquez,Female,18-25,Port Brian,North,Gold,2022-05-02
CUS0317,Andrew Henderson,Male,26-35,South Dorothyview,East,Platinum,2024-12-06
CUS0318,Regina Williams,Female,18-25,Danielleshire,West,Silver,2022-11-09
CUS0319,Tammy Wilson DDS,Female,18-25,Stevensonborough,East,Platinum,2022-08-30
CUS0320,Marisa Mcconnell,Male,36-50,Port Jademouth,South,Bronze,2022-03-15
CUS0321,Brittany Cherry,Male,36-50,North Lauren,North,Gold,2024-12-23
CUS0322,Mary Carroll,Male,36-50,North Allison,South,Bronze,2023-07-08
CUS0323,Mary Wilson MD,Other,51+,New Leahton,South,Bronze,2022-06-01
CUS0324,Tamara Hawkins,Female,36-50,Osbornfort,North,Platinum,2026-03-01
CUS0325,Brenda Larsen,Male,51+,Shannonmouth,West,Silver,2022-11-03
CUS0326,Eric Hopkins,Male,36-50,New Dianaborough,West,Bronze,2023-05-19
CUS0327,Jocelyn Lopez,Other,36-50,Wrightshire,South,Silver,2025-02-16
CUS0328,Robert Alvarado,Male,36-50,New Jacqueline,North,Bronze,2026-06-14
CUS0329,Darin Wells,Other,36-50,Cindyview,West,Gold,2023-03-30
CUS0330,Lindsay Johnson,Male,26-35,New Emily,East,Silver,2025-06-15
CUS0331,Steven Gilbert,Female,18-25,Joeland,West,Platinum,2021-10-09
CUS0332,Karen Robinson,Male,18-25,South Patrick,South,Gold,2026-07-18
CUS0333,Tiffany Phillips,Female,18-25,Port Gregoryport,East,Platinum,2024-07-05
