CustomerID,CustomerName,Gender,AgeGroup,Region,LoyaltyTier,CustomerSince
CUS0099,Rebecca Nunez,Female,36-50,West,Gold,2022-12-22
CUS0100,Eugene Anderson,Female,51+,West,Platinum,2023-12-20
CUS0101,Donald Ayala,Other,51+,East,Silver,2024-02-28
CUS0102,Jillian Willis,Female,26-35,North,Platinum,2024-02-07
CUS0103,April Calhoun,Other,26-35,East,Bronze,2021-11-06
CUS0104,Phillip Fischer,Female,26-35,East,Silver,2021-12-13
CUS0105,Christopher Carr,Female,18-25,South,Silver,2026-06-16
CUS0106,Calvin Paul,Other,18-25,West,Gold,2024-11-29
CUS0107,Haley Benton,Male,51+,South,Platinum,2023-06-24
CUS0108,David Carr,Female,26-35,West,Platinum,2025-03-04
CUS0109,Willie Molina,Other,26-35,East,Gold,2025-09-07
CUS0110,Amanda James,Other,26-35,North,Platinum,2023-04-20
CUS0111,Grant Holland,Male,18-25,North,Gold,2022-12-27
CUS0112,John Martinez,Other,18-25,South,Gold,2023-05-03
CUS0113,Karen Chen,Male,26-35,North,Gold,2024-07-27
CUS0114,Nathan Howard,Other,36-50,West,Silver,2025-10-10
CUS0115,Nathaniel Wang,Male,51+,West,Silver,2024-08-09
CUS0116,Chad Hamilton,Male,26-35,North,Platinum,2022-09-20
CUS0117,Chase Acevedo,Female,26-35,West,Gold,2025-01-29
CUS0118,Travis Stone,Other,26-35,South,Bronze,2023-12-10
CUS0119,Sandra Cervantes,Female,36-50,South,Bronze,2024-02-05
CUS0120,George Riley,Female,26-35,South,Platinum,2022-02-25
CUS0121,Dave Ruiz,Male,26-35,North,Gold,2025-06-03
CUS0122,Stacey Smith,Other,36-50,North,Platinum,2025-01-22
CUS0123,Matthew King,Other,26-35,East,Silver,2026-01-22
CUS0124,Jeremy Adams,Male,18-25,West,Platinum,2022-08-04
CUS0125,Christina Martinez,Other,51+,South,Bronze,2024-09-25
CUS0126,Kayla Ferguson,Male,26-35,North,Gold,2023-06-16
CUS0127,Tracy Anderson,Male,36-50,East,Gold,2024-10-29
CUS0128,Lori Smith,Male,26-35,South,Bronze,2023-12-09
CUS0129,Kevin Owen,Other,51+,West,Silver,2024-10-22
CUS0130,Timothy Byrd,Female,26-35,South,Gold,2024-01-01
CUS0131,Matthew Fernandez,Male,26-35,South,Gold,2026-01-17
CUS0132,Jasmin Wood,Male,51+,South,Platinum,2025-02-14
CUS0133,Nicholas Vazquez,Male,18-25,East,Platinum,2022-02-14
CUS0134,Michael Moody MD,Other,51+,South,Silver,2024-12-09
CUS0135,Alvin Clark,Other,18-25,South,Gold,2022-05-14
CUS0136,Christina Booker,Female,26-35,West,Silver,2026-06-01
CUS0137,Joseph Jensen,Male,51+,West,Silver,2022-12-11
CUS0138,Kelsey Hawkins,Other,51+,East,Gold,2024-10-11
CUS0139,Connie Bryant,Other,18-25,West,Gold,2026-02-16
CUS0140,Thomas Powers,Other,26-35,East,Gold,2025-11-22
CUS0141,Angela Watson,Male,51+,East,Platinum,2022-10-27
CUS0142,Jordan Todd,Male,36-50,East,Platinum,2025-09-15
CUS0143,Gregory Cox,Other,26-35,South,Platinum,2022-01-18
CUS0144,Amanda Rivera,Other,26-35,East,Bronze,2023-08-07
CUS0145,Thomas Banks,Female,36-50,South,Bronze,2023-08-23
CUS0146,Amanda Lucas,Male,36-50,South,Platinum,2022-10-01
CUS0147,Jason Davis,Female,26-35,West,Gold,2023-02-12
CUS0148,Meghan Patterson,Female,51+,East,Silver,2022-05-08
CUS0149,Misty Davis,Other,18-25,East,Platinum,2025-03-31
CUS0150,George Collins,Female,36-50,East,Silver,2025-11-12
CUS0151,Christian Nguyen,Male,26-35,South,Platinum,2024-06-08
CUS0152,Terry Alexander,Other,36-50,North,Bronze,2022-08-30
CUS0153,Jennifer Carlson,Other,26-35,West,Bronze,2022-12-01
CUS0154,Kyle Smith,Male,18-25,East,Bronze,2024-05-21
CUS0155,Richard Mitchell,Male,18-25,West,Bronze,2023-06-08
CUS0156,Marissa Gonzalez,Male,26-35,East,Bronze,2023-12-18
CUS0157,Claudia Brown,Female,51+,North,Platinum,2025-04-13
CUS0158,Matthew Doyle,Other,51+,East,Platinum,2026-04-19
CUS0159,Jamie Bennett,Male,18-25,North,Platinum,2025-01-04
CUS0160,Heather Myers,Male,26-35,South,Silver,2025-07-24
CUS0161,Michael Lopez,Male,36-50,West,Platinum,2026-04-23
CUS0162,Thomas Hayes,Female,26-35,South,Silver,2024-06-05
CUS0163,Ana Contreras,Other,18-25,South,Silver,2021-09-04
CUS0164,Caleb Morrison,Male,36-50,East,Gold,2023-02-20
CUS0165,Jennifer Cordova,Female,36-50,South,Gold,2021-10-06
CUS0166,William Reese,Other,26-35,South,Platinum,2023-09-07
CUS0167,Pedro Ayala,Female,51+,North,Bronze,2024-05-24
CUS0168,Melissa Beck,Other,51+,North,Gold,2024-03-06
CUS0169,Lorraine Ramirez,Male,18-25,West,Bronze,2024-01-13
CUS0170,Anthony Cabrera,Other,18-25,East,Silver,2024-12-13
CUS0171,Kathleen Sellers,Male,36-50,North,Bronze,2023-02-02
CUS0172,Michelle Stanley,Other,36-50,West,Platinum,2024-10-16
CUS0173,Alexis Bell,Male,18-25,North,Silver,2024-01-25
CUS0174,Dillon Graham,Female,26-35,North,Platinum,2024-06-23
CUS0175,Thomas Mcguire,Other,26-35,East,Platinum,2025-01-14
CUS0176,Kimberly Tate,Female,26-35,South,Platinum,2025-12-28
CUS0177,Rachel Duffy,Female,51+,West,Silver,2023-04-03
CUS0178,Laura Hopkins,Male,18-25,North,Bronze,2023-07-26
CUS0179,William Tran,Female,26-35,West,Gold,2023-10-30
CUS0180,Elizabeth Cole,Female,51+,South,Platinum,2022-02-04
CUS0181,Nicole Shaw,Female,18-25,South,Gold,2026-06-16
CUS0182,Robert Kelly,Other,26-35,South,Silver,2024-08-19
CUS0183,Francis Lewis,Other,18-25,East,Platinum,2021-11-06
CUS0184,Frank Hernandez,Female,36-50,South,Bronze,2021-11-15
CUS0185,Maria Poole,Female,18-25,East,Platinum,2023-07-27
CUS0186,Lee Bowman,Male,51+,South,Gold,2022-12-15
CUS0187,Raymond Hall,Female,36-50,East,Bronze,2022-11-20
CUS0188,Gary Barajas,Female,36-50,North,Bronze,2022-07-27
CUS0189,Henry Johnson,Female,36-50,South,Gold,2022-10-22
CUS0190,Aaron Gardner,Male,51+,East,Bronze,2022-09-06
CUS0191,Jennifer Roberts,Other,26-35,East,Gold,2023-10-02
CUS0192,Laurie Brown,Female,36-50,South,Gold,2023-12-31
CUS0193,Donald Jordan,Other,51+,South,Silver,2026-02-23
CUS0194,Patrick Miller,Female,51+,East,Gold,2022-01-18
CUS0195,Robert Williams,Male,18-25,South,Gold,2025-05-12
CUS0196,Rose Sullivan,Other,36-50,East,Gold,2023-03-11
CUS0197,Richard Mckinney,Female,26-35,South,Silver,2025-02-23
CUS0198,Margaret Leach,Female,36-50,North,Platinum,2021-11-13
CUS0199,Elizabeth Edwards,Female,26-35,South,Gold,2024-08-12
CUS0200,Jake Bruce,Other,26-35,East,Gold,2023-09-12
CUS0201,Jennifer Garcia,Other,26-35,North,Platinum,2022-10-01
CUS0202,Paul Miranda,Male,36-50,West,Platinum,2021-10-11
CUS0203,Rachel Olson,Other,26-35,East,Silver,2025-07-15
CUS0204,William Wilkerson,Female,18-25,South,Bronze,2021-12-27
CUS0205,Rita Chase,Other,36-50,West,Platinum,2022-02-12
CUS0206,Susan Hansen,Female,51+,East,Platinum,2023-07-18
CUS0207,Rhonda Harper,Other,18-25,West,Platinum,2024-08-21
CUS0208,Audrey Gentry,Male,51+,South,Silver,2024-09-22
CUS0209,Amanda Kelly,Other,51+,South,Gold,2022-03-31
CUS0210,Robert Cochran,Other,36-50,South,Bronze,2022-09-30
CUS0211,Jennifer Kim,Male,26-35,East,Silver,2024-02-13
CUS0212,Katherine Webb,Female,36-50,South,Silver,2024-04-15
CUS0213,Lisa Hernandez,Other,18-25,West,Silver,2025-11-01
CUS0214,Nicole Gould,Female,36-50,North,Bronze,2025-10-30
CUS0215,Tiffany Abbott,Female,51+,South,Silver,2026-07-08
CUS0216,Thomas Miles,Male,26-35,East,Silver,2024-08-08
CUS0217,Victor Robinson,Other,18-25,East,Gold,2025-08-25
CUS0218,Cory Ray,Other,18-25,North,Gold,2022-06-15
CUS0219,Justin Mcmahon,Male,36-50,West,Bronze,2025-06-12
CUS0220,Max Acevedo,Male,36-50,West,Bronze,2025-09-19
CUS0221,Michael Walls,Other,36-50,West,Silver,2023-12-20
CUS0222,Justin Cruz,Female,51+,South,Silver,2025-03-05
CUS0223,Adam Ross,Other,36-50,West,Gold,2021-12-26
CUS0224,Theresa White,Male,18-25,North,Platinum,2023-09-09
CUS0225,Bonnie Johnson,Male,18-25,East,Bronze,2022-10-12
CUS0226,James Barajas,Other,18-25,North,Platinum,2023-06-22
CUS0227,Evan Nunez,Female,26-35,North,Platinum,2022-06-23
CUS0228,Jeffrey Decker,Female,36-50,South,Platinum,2021-12-18
CUS0229,Bryan Blair,Female,51+,East,Gold,2025-11-24
CUS0230,Penny Golden,Male,18-25,North,Platinum,2024-09-03
CUS0231,Connie Brown,Female,51+,North,Platinum,2023-04-01
CUS0232,Nichole Mack,Female,51+,North,Silver,2024-07-04
CUS0233,Amy French,Female,18-25,East,Silver,2022-09-27
CUS0234,Rose Peterson,Other,36-50,West,Silver,2023-10-08
CUS0235,Kathy Jacobs,Other,36-50,West,Bronze,2025-10-24
CUS0236,Alejandro Aguilar,Other,51+,West,Platinum,2023-07-22
CUS0237,Phillip Dalton,Female,36-50,East,Gold,2021-11-20
CUS0238,Andre Martin,Other,26-35,South,Bronze,2021-12-20
CUS0239,Sarah Sparks,Other,18-25,East,Silver,2021-09-05
CUS0240,Richard Parsons,Male,18-25,West,Gold,2026-04-13
CUS0241,Patricia King,Male,36-50,West,Bronze,2025-04-29
CUS0242,Sara Walter,Male,26-35,West,Platinum,2025-02-06
CUS0243,Kathryn Garcia,Other,26-35,East,Gold,2021-11-02
CUS0244,Sara Nelson,Male,36-50,West,Bronze,2024-06-04
CUS0245,Keith Gomez,Other,51+,West,Gold,2025-09-07
CUS0246,Michael Atkinson,Female,18-25,West,Gold,2023-04-15
CUS0247,Kathryn Gutierrez,Female,51+,North,Bronze,2022-04-19
CUS0248,Deborah Ross,Female,51+,East,Bronze,2024-07-28
CUS0249,Luke Payne,Female,51+,East,Silver,2025-10-01
CUS0250,Amanda Scott,Male,36-50,West,Platinum,2024-08-23
CUS0251,Eric Ortega,Male,36-50,South,Platinum,2024-11-20
CUS0252,Ian Spears,Male,26-35,South,Bronze,2026-07-22
CUS0253,Jeffrey Stewart,Other,18-25,West,Gold,2022-08-03
CUS0254,Kimberly Gibson,Other,51+,South,Silver,2025-05-09
CUS0255,Sherry Drake,Female,36-50,North,Platinum,2022-08-11
CUS0256,Todd Coffey,Male,36-50,South,Gold,2024-02-02
CUS0257,Lorraine Martinez,Male,18-25,East,Platinum,2026-07-08
CUS0258,Jaime Stone,Female,36-50,North,Silver,2024-07-07
CUS0259,Vincent Hayden,Other,26-35,South,Silver,2023-07-23
CUS0260,Jill Hughes,Female,18-25,East,Platinum,2022-03-31
CUS0261,Chad Ball,Female,51+,North,Gold,2023-08-13
CUS0262,Colton Carlson,Other,36-50,South,Silver,2022-04-12
CUS0263,Jennifer Kelley,Female,36-50,North,Platinum,2026-03-01
CUS0264,Miss Karen Williams MD,Other,18-25,East,Bronze,2023-07-07
CUS0265,Nichole Underwood,Other,36-50,South,Silver,2023-02-07
CUS0266,Steven Underwood,Male,51+,East,Silver,2024-02-05
CUS0267,Brandon Pace,Other,26-35,North,Gold,2023-03-28
CUS0268,Tyler Peterson,Male,18-25,South,Bronze,2023-05-01
CUS0269,Sandra Smith,Other,18-25,West,Gold,2023-03-25
CUS0270,Sara Parker,Male,51+,East,Bronze,2023-07-28
CUS0271,Christopher Cox,Other,51+,North,Platinum,2025-10-30
CUS0272,Chris Garrett,Female,18-25,East,Silver,2026-02-13
CUS0273,Erin Saunders,Male,36-50,South,Bronze,2022-07-30
CUS0274,Dillon Sellers,Male,36-50,North,Bronze,2021-09-24
CUS0275,Sandra Hall,Other,36-50,West,Gold,2024-11-30
CUS0276,Cameron Robbins,Other,18-25,West,Gold,2022-04-05
CUS0277,Sophia Morse,Male,51+,West,Gold,2024-06-30
CUS0278,Stacy Perez,Other,51+,West,Bronze,2022-03-09
CUS0279,Susan Davidson,Male,36-50,North,Platinum,2022-01-07
CUS0280,Rhonda Medina,Female,51+,South,Bronze,2025-07-15
CUS0281,Deborah Meadows,Male,51+,North,Platinum,2025-11-15
CUS0282,Madison Liu,Female,18-25,North,Platinum,2024-01-08
CUS0283,Brittany Russo,Male,36-50,North,Bronze,2021-11-15
CUS0284,Timothy Simmons,Male,36-50,West,Silver,2024-04-06
CUS0285,Daniel Dean,Male,51+,North,Silver,2024-06-07
CUS0286,Nichole Miller,Female,51+,South,Gold,2022-03-09
CUS0287,Andrew Becker,Other,18-25,North,Gold,2023-07-15
CUS0288,Carla Ortiz,Male,51+,West,Platinum,2026-07-16
CUS0289,Lisa Trujillo,Female,26-35,North,Gold,2025-08-21
CUS0290,Heidi Wells,Other,26-35,North,Silver,2026-06-08
CUS0291,Shelby Camacho,Male,51+,West,Bronze,2023-09-14
CUS0292,Elizabeth Mills,Female,51+,North,Bronze,2024-04-10
CUS0293,Peter Snyder,Female,51+,East,Gold,2024-09-24
CUS0294,Edward Lopez,Female,26-35,North,Gold,2024-10-17
CUS0295,Bruce Nolan,Female,26-35,East,Platinum,2026-06-04
CUS0296,Nicole Spencer,Male,18-25,North,Gold,2023-04-13
CUS0297,Mrs. Holly Spencer,Female,18-25,North,Gold,2024-03-30
CUS0298,Kaitlyn Smith,Female,51+,North,Bronze,2022-12-09
CUS0299,Jeffrey Herman,Male,26-35,East,Silver,2025-02-19
CUS0300,Kimberly Booker,Other,18-25,East,Platinum,2023-02-14
CUS0301,Samantha Griffin,Female,51+,East,Bronze,2025-03-17
CUS0302,Mario Edwards,Other,36-50,North,Gold,2022-01-02
CUS0303,Cindy Pruitt,Male,26-35,South,Gold,2024-05-20
CUS0304,Ashley Waters,Female,26-35,West,Silver,2025-02-20
CUS0305,Brandon Pena,Female,26-35,West,Platinum,2024-01-06
CUS0306,Steven Miller,Female,26-35,East,Bronze,2025-07-16
CUS0307,Aaron Fuentes,Other,51+,North,Bronze,2021-09-22
CUS0308,Donald Mitchell,Male,51+,East,Silver,2022-05-08
CUS0309,Linda Velazquez,Other,51+,North,Bronze,2023-05-21
CUS0310,Devin Harris,Male,51+,North,Bronze,2021-12-28
CUS0311,Sarah Davis,Female,18-25,West,Bronze,2022-04-03
CUS0312,Cristina Cardenas,Female,18-25,East,Silver,2026-01-06
CUS0313,Tasha Martin,Female,36-50,East,Gold,2023-10-11
CUS0314,Alyssa Johnson,Male,51+,South,Silver,2021-11-16
CUS0315,Mark Perez,Other,18-25,West,Gold,2023-02-18
CUS0316,Helen Dawson,Male,51+,South,Bronze,2025-02-05
CUS0317,Michelle Sims,Male,51+,East,Silver,2025-04-05
CUS0318,Anna Cantu,Other,18-25,North,Bronze,2024-03-02
CUS0319,Michael Arias,Other,36-50,North,Gold,2025-12-29
CUS0320,Kenneth Hernandez,Male,51+,South,Bronze,2024-08-20
CUS0321,Jeffrey Hull,Male,18-25,North,Gold,2024-03-08
CUS0322,Dylan Dillon DVM,Other,36-50,South,Gold,2022-09-08
CUS0323,Christopher Perez,Female,18-25,North,Silver,2024-08-11
CUS0324,Andrew Hobbs,Male,26-35,South,Silver,2021-09-19
CUS0325,Michael Hooper,Female,26-35,East,Bronze,2025-04-02
CUS0326,Sherry Fox,Male,18-25,West,Gold,2025-07-29
CUS0327,Emily Ruiz,Male,18-25,South,Silver,2025-11-15
CUS0328,Jimmy Walker,Other,36-50,South,Platinum,2023-07-18
CUS0329,Vicki Gomez,Female,26-35,North,Bronze,2021-09-17
CUS0330,Joann Rivers,Other,36-50,South,Platinum,2022-05-03
CUS0331,Krista Moore,Other,26-35,North,Platinum,2025-11-28
CUS0332,Michael Ryan,Other,26-35,West,Gold,2022-03-31
CUS0333,Christy Gates,Male,36-50,North,Silver,2023-09-11
CUS0334,Carmen Peters,Other,36-50,North,Gold,2022-12-09
CUS0335,Jeffery Erickson,Other,36-50,East,Gold,2022-09-17
CUS0336,Samuel Escobar,Female,18-25,South,Gold,2025-03-15
CUS0337,Kevin Roberson,Other,51+,North,Platinum,2024-06-15
CUS0338,Amanda Morales,Other,51+,North,Bronze,2024-11-24
CUS0339,Stephen Daniels,Female,51+,South,Bronze,2026-07-07
CUS0340,Dale Valdez,Female,36-50,East,Platinum,2022-12-14
CUS0341,Ms. Monica Lane DVM,Other,51+,North,Gold,2022-02-06
CUS0342,Mary Jarvis,Other,18-25,East,Bronze,2025-07-30
CUS0343,Christian Green,Female,26-35,West,Platinum,2022-03-26
CUS0344,Nicole Mcdonald,Other,36-50,North,Bronze,2025-01-02
CUS0345,Michael Parker,Female,26-35,East,Gold,2025-02-22
CUS0346,Rachel King,Female,26-35,East,Silver,2026-04-28
CUS0347,Michael Barber,Male,26-35,North,Silver,2024-07-02
CUS0348,Nancy Wilkins,Male,51+,East,Silver,2025-08-14
CUS0349,Laura Scott,Male,51+,North,Silver,2022-01-04
CUS0350,Kenneth Gonzalez,Other,18-25,West,Bronze,2022-03-01
CUS0351,Jennifer Browning,Female,36-50,East,Gold,2023-08-03
CUS0352,Cassandra Ross,Other,26-35,North,Bronze,2023-10-03
CUS0353,John Bradley MD,Other,36-50,West,Platinum,2024-05-26
CUS0354,Roy Parker,Other,36-50,East,Gold,2024-01-15
CUS0355,Mrs. Hannah Schroeder DVM,Other,36-50,North,Bronze,2021-10-07
CUS0356,Kimberly Evans,Female,51+,West,Bronze,2023-10-11
CUS0357,Carlos Gonzalez DDS,Other,51+,North,Platinum,2024-12-29
CUS0358,Jared Cox Jr.,Other,51+,West,Platinum,2022-02-10
CUS0359,Leonard Cook,Other,26-35,South,Bronze,2024-03-27
CUS0360,Douglas Curry,Female,51+,East,Gold,2023-09-06
CUS0361,Luke Chang,Female,18-25,West,Gold,2022-12-09
CUS0362,Alexandria Smith,Other,26-35,West,Gold,2025-03-22
CUS0363,Anne Peck,Male,26-35,West,Silver,2025-06-22
CUS0364,Danielle Stevens,Female,36-50,North,Platinum,2024-08-18
CUS0365,Mark Owen,Other,51+,West,Silver,2024-08-13
CUS0366,Grace Bullock,Female,18-25,North,Bronze,2022-10-02
CUS0367,Alyssa Gibson,Male,51+,North,Silver,2026-04-08
CUS0368,Melvin Hughes,Female,18-25,West,Platinum,2022-07-18
CUS0369,Michael Wilson,Other,18-25,West,Silver,2025-08-04
CUS0370,Judith Reynolds,Other,51+,East,Platinum,2022-10-02
CUS0371,Jack Lindsey,Female,36-50,South,Bronze,2024-06-11
CUS0372,Christopher Adams,Female,36-50,South,Platinum,2023-06-09
CUS0373,Mrs. Sarah Brewer,Female,18-25,East,Bronze,2023-06-07
CUS0374,Lisa Moore,Other,36-50,South,Gold,2025-12-17
CUS0375,Bryan Maldonado,Female,26-35,North,Bronze,2023-03-02
CUS0376,Sandra Owens,Other,26-35,East,Gold,2024-02-08
CUS0377,Catherine Copeland,Male,51+,North,Platinum,2023-09-08
CUS0378,Laurie Romero,Female,36-50,South,Silver,2023-08-26
CUS0379,Kimberly Davidson,Female,51+,North,Silver,2024-05-10
CUS0380,Amanda Avila,Male,51+,East,Bronze,2023-05-04
CUS0381,Christina Reed,Other,18-25,North,Bronze,2023-07-07
CUS0382,Shannon Meyers,Other,51+,North,Bronze,2025-09-26
CUS0383,Daniel Terry,Female,18-25,North,Silver,2022-08-10
CUS0384,Denise Stephenson,Other,51+,East,Silver,2021-11-25
CUS0385,Chris Foster,Male,18-25,South,Silver,2024-01-28
CUS0386,Robert Baxter,Male,36-50,East,Platinum,2024-07-29
CUS0387,Rebecca Moss,Male,51+,East,Bronze,2024-03-14
CUS0388,Jasmine Montgomery,Other,36-50,North,Gold,2025-09-06
CUS0389,Valerie Garner,Other,36-50,East,Platinum,2023-05-14
CUS0390,Rhonda Allen,Other,26-35,West,Gold,2025-11-07
CUS0391,Sharon Holland,Female,26-35,South,Bronze,2025-03-06
CUS0392,Alexander Diaz,Male,26-35,West,Bronze,2023-10-30
CUS0393,Matthew Hansen,Other,26-35,East,Bronze,2022-12-29
CUS0394,Kelly Ross,Other,18-25,West,Gold,2025-12-21
CUS0395,Deanna Rich,Female,36-50,South,Bronze,2022-10-25
CUS0396,Hannah Spencer,Female,26-35,East,Silver,2026-04-14
CUS0397,Karen Smith,Male,26-35,East,Silver,2022-10-12
CUS0398,Nicholas Watson,Male,26-35,West,Silver,2023-08-20
CUS0399,Nathan Martinez,Other,26-35,East,Platinum,2023-08-27
CUS0400,William Warren,Female,26-35,South,Silver,2025-01-28
