CustomerID,CustomerName,Region,Gender,LoyaltyTier
C0054,April Wiley,East,Female,Gold
C0055,Cheryl Wade,North,Female,Platinum
C0056,John Estrada,South,Female,Silver
C0057,Cynthia Larson,East,Female,Gold
C0058,Roy Paul,East,Female,Gold
C0059,Gregory Joyce,South,Female,Bronze
C0060,Chase Choi,East,Female,Bronze
C0061,Suzanne Williams,West,Male,Silver
C0062,Michael Cortez,North,Female,Silver
C0063,Jennifer Vargas,North,Female,Platinum
C0064,Linda Newman,South,Male,Bronze
C0065,Walter Howard,South,Male,Platinum
C0066,Justin Saunders,North,Female,Gold
C0067,Jeffrey Weaver,East,Female,Bronze
C0068,Wanda Reynolds,South,Female,Gold
C0069,Kathryn Castillo,North,Male,Gold
C0070,Alicia Wilson,South,Male,Bronze
C0071,Jason Day,East,Male,Bronze
C0072,Brian Christensen,West,Male,Gold
C0073,Stephen Martinez,South,Female,Platinum
C0074,Thomas Turner,North,Male,Platinum
C0075,Bonnie Larson,West,Female,Silver
C0076,John Ortega,East,Female,Silver
C0077,Kristin Hickman,East,Male,Gold
C0078,Jacqueline Turner,North,Male,Bronze
C0079,Charles Strickland,South,Male,Bronze
C0080,Thomas Carr,South,Male,Platinum
C0081,John Stewart,West,Female,Gold
C0082,Christopher Mcmillan,West,Female,Silver
C0083,Lee Rivera,North,Male,Platinum
C0084,Mark Keller,West,Male,Bronze
C0085,Allen Porter,South,Male,Bronze
C0086,Mr. Joshua Cohen,East,Male,Bronze
C0087,Kyle Burke,South,Male,Platinum
C0088,Brent Holloway,East,Male,Platinum
C0089,Danny Smith,West,Male,Silver
C0090,Tracy Roberts,North,Female,Silver
C0091,Colleen Martin,North,Female,Silver
C0092,Stephanie Brown,East,Male,Bronze
C0093,Jennifer Barrett,North,Female,Platinum
C0094,Tara Jones,South,Female,Bronze
C0095,Kaitlyn Leblanc,South,Male,Bronze
C0096,Madeline Ford,East,Male,Bronze
C0097,Raymond Herrera,West,Male,Gold
C0098,Danielle Reed,South,Male,Bronze
C0099,Michael Spencer,South,Female,Silver
C0100,Kevin Torres,East,Male,Bronze
C0101,Hannah Marquez,West,Male,Platinum
C0102,Jared Madden,East,Male,Silver
C0103,Jacob Miller,South,Male,Platinum
C0104,George Williams,East,Female,Bronze
C0105,Amber Parker,South,Female,Silver
C0106,Jerome Parker,North,Male,Gold
C0107,Phillip Fowler,West,Female,Gold
C0108,Charles Gonzales,East,Male,Platinum
C0109,Natalie Oconnor,North,Female,Gold
C0110,Richard Murray,West,Female,Silver
C0111,Eric Shaffer,East,Male,Platinum
C0112,Christina Roberts,South,Female,Silver
C0113,Christina Cook,North,Female,Gold
C0114,Joseph Walker Jr.,North,Male,Silver
C0115,Bradley Cobb,West,Male,Silver
C0116,Cynthia Newman,North,Female,Gold
C0117,Veronica Simmons,West,Female,Bronze
C0118,John Nichols,South,Female,Bronze
C0119,Thomas Jones,South,Female,Platinum
C0120,Karen Alvarez,North,Female,Gold
C0121,Ronald Graham,South,Female,Silver
C0122,Arthur White,North,Female,Bronze
C0123,Eric Murphy,South,Female,Platinum
C0124,Tammy Daniel,West,Male,Bronze
C0125,Dr. Jose Garcia,West,Female,Silver
C0126,Ashley Coleman,West,Male,Platinum
C0127,Eduardo Booth,East,Male,Bronze
C0128,Nicholas Ramos MD,South,Male,Silver
C0129,Robert Chapman,South,Female,Gold
C0130,Eric Clark,South,Female,Platinum
C0131,Kevin Johnston,South,Female,Silver
C0132,Lori Jordan,West,Female,Bronze
C0133,Gloria Lynch,South,Male,Silver
C0134,Rachel Norris,East,Male,Bronze
C0135,Joseph Spencer,South,Male,Gold
C0136,Kenneth Schmidt,East,Female,Silver
C0137,Timothy Fletcher,South,Male,Silver
C0138,Michael Fernandez,North,Female,Bronze
C0139,Joseph Conway,North,Female,Bronze
C0140,Edward Hill,East,Male,Platinum
C0141,Paula Evans,West,Male,Silver
C0142,Stephanie Santiago,North,Male,Bronze
C0143,Lauren Kim,West,Male,Gold
C0144,Sherri Colon,North,Male,Bronze
C0145,Erin Mckinney,South,Male,Bronze
C0146,Joseph Dougherty,South,Male,Bronze
C0147,Sarah Williams,South,Female,Bronze
C0148,Jeremy Silva,West,Male,Silver
C0149,Lisa Prince,South,Female,Gold
C0150,Sara Wilkins,West,Male,Silver
C0151,Joshua Fowler,West,Male,Platinum
C0152,Jodi Miller,South,Male,Platinum
C0153,Garrett Carpenter,South,Female,Gold
C0154,Vincent Schaefer,West,Female,Bronze
C0155,Rachel Norton,North,Male,Silver
C0156,Jon Russo,South,Male,Silver
C0157,Jeanne Mills,West,Male,Gold
C0158,Nicholas Little,East,Female,Bronze
C0159,Jonathan Walton,North,Female,Bronze
C0160,Ashley Miller,East,Male,Silver
C0161,William Vasquez,East,Male,Bronze
C0162,Denise Hendricks,South,Female,Silver
C0163,Stacy Johnson,North,Female,Platinum
C0164,Mary Delacruz,North,Female,Gold
C0165,Laura Singleton,North,Male,Gold
C0166,Jill Ray,East,Male,Bronze
C0167,Charles Hensley,North,Male,Bronze
C0168,Lauren Walker,West,Female,Bronze
C0169,Ann Calderon,East,Male,Silver
C0170,Jonathan Potter,North,Male,Platinum
C0171,Julie Curry,East,Male,Gold
C0172,Maureen Lee,South,Female,Gold
C0173,Alicia Garner,South,Male,Platinum
C0174,David Silva,East,Male,Platinum
C0175,Tyler Patel,East,Female,Gold
C0176,Victoria Parker,North,Male,Silver
C0177,Emily Martinez,West,Female,Silver
C0178,Amanda Brown,East,Male,Gold
C0179,Samantha Salinas,East,Female,Bronze
C0180,Michelle Williams,East,Female,Gold
C0181,Shawn Evans,East,Female,Platinum
C0182,Christine Jones,South,Male,Bronze
C0183,Michael Buchanan,North,Female,Bronze
C0184,James Morales DVM,South,Female,Silver
C0185,Michael Hicks,East,Male,Platinum
C0186,Laura Clark,South,Male,Bronze
C0187,Luke Bush,East,Male,Platinum
C0188,Kimberly Cantrell,North,Female,Silver
C0189,Sarah Jordan,South,Male,Bronze
C0190,Tyler Cole,West,Male,Bronze
C0191,Matthew Valencia,East,Female,Platinum
C0192,Cynthia Freeman,East,Male,Bronze
C0193,Gregory Wiley,North,Female,Platinum
C0194,Dylan Long,North,Female,Gold
C0195,Amanda Anderson,West,Male,Bronze
C0196,Cynthia Tucker,East,Male,Bronze
C0197,Scott Stephens,South,Female,Platinum
C0198,Ralph Gray,West,Male,Silver
C0199,Thomas Phillips,East,Female,Bronze
C0200,Jamie Scott,East,Male,Silver
C0201,Michael Gutierrez,South,Female,Silver
C0202,Brian Kidd,North,Male,Gold
C0203,Travis Walters,East,Male,Bronze
C0204,Joseph Meyers,East,Male,Platinum
C0205,Jennifer Baker,West,Female,Platinum
C0206,Tracey Johnson,East,Male,Platinum
C0207,Kimberly Taylor,South,Male,Silver
C0208,Alejandra Thomas,North,Male,Silver
C0209,Jay Peck,East,Female,Silver
C0210,Ashley Schultz,North,Male,Platinum
C0211,Jody Rice,East,Male,Gold
C0212,Leslie Bauer,North,Female,Gold
C0213,Laura Andrews,North,Female,Silver
C0214,Jon Green,West,Female,Silver
C0215,Sylvia Dalton,North,Female,Bronze
C0216,Melissa Smith,West,Male,Gold
C0217,Jonathan Gallagher,West,Male,Platinum
C0218,Louis Gibson,East,Female,Gold
C0219,Francisco Woodward,West,Male,Bronze
C0220,Michael Guerra,West,Female,Silver
C0221,Kimberly Orozco,North,Female,Gold
C0222,John Chavez,West,Male,Gold
C0223,Alison Faulkner,West,Female,Silver
C0224,Toni Galloway,West,Male,Gold
C0225,Nina Combs,South,Male,Silver
C0226,Patricia Cannon,West,Female,Silver
C0227,Eric Clark,North,Female,Gold
C0228,Kelly Brown,North,Female,Platinum
C0229,Joshua Ramos DDS,East,Male,Bronze
C0230,Courtney Young,South,Male,Silver
C0231,Philip Cole,West,Male,Gold
C0232,Anna Love,West,Female,Silver
C0233,Lisa Rodriguez,East,Female,Gold
C0234,Cheryl Petersen,South,Male,Platinum
C0235,Tracy Lopez,East,Male,Platinum
C0236,Casey Baker,East,Female,Gold
C0237,Andrew Green,West,Male,Bronze
C0238,Carolyn Kane,East,Female,Gold
C0239,Lisa Ramsey,East,Male,Gold
C0240,Joel Smith,West,Female,Bronze
C0241,Andrea Brown,East,Male,Silver
C0242,Melissa Combs,South,Female,Silver
C0243,Karl Moore,South,Male,Platinum
C0244,Richard Larsen,West,Male,Silver
C0245,Amy Webb,South,Female,Silver
C0246,Annette Walters,East,Male,Silver
C0247,Paul Stephens,North,Male,Silver
C0248,Kevin Moss,West,Female,Platinum
C0249,Patrick Bird,South,Male,Gold
C0250,Laura Harris,West,Male,Silver
C0251,Blake Crawford,East,Female,Gold
C0252,Charles Roberts,East,Male,Gold
C0253,Steve Brewer,East,Male,Silver
C0254,Jason Rodriguez,North,Male,Gold
C0255,Amber Lee,North,Female,Gold
C0256,Jeffrey Watts,North,Female,Platinum
C0257,John Hernandez,North,Male,Platinum
C0258,Michael Jackson,North,Female,Gold
C0259,Brittany Johnson,East,Female,Bronze
C0260,Peggy Young,East,Male,Platinum
C0261,Jennifer Taylor,South,Male,Platinum
C0262,Christina Mullen,North,Female,Platinum
C0263,Alexandra Marshall,South,Female,Silver
C0264,Amanda Davis,West,Female,Bronze
C0265,Gavin Yates,West,Female,Platinum
C0266,Allison Murray,East,Female,Gold
C0267,Ann Goodwin,South,Male,Gold
C0268,Jerry Martin,West,Male,Gold
C0269,Joshua James,East,Female,Platinum
C0270,Jordan Wilkerson,East,Female,Platinum
C0271,Kathleen Lopez,East,Male,Platinum
C0272,Rodney Stewart,South,Male,Platinum
C0273,Patricia Paul,North,Male,Gold
C0274,Yvonne Rodriguez,West,Female,Platinum
C0275,Robert Brandt,North,Female,Silver
C0276,Aaron Scott,South,Female,Bronze
C0277,Anthony Good,South,Female,Platinum
C0278,Olivia Carter,North,Male,Bronze
C0279,Stephanie White,East,Male,Bronze
C0280,Matthew Smith,West,Female,Bronze
C0281,Daniel Matthews,North,Male,Platinum
C0282,Brenda Oconnor,North,Female,Platinum
C0283,Monica Aguilar,South,Female,Gold
C0284,Rodney Salinas,North,Male,Silver
C0285,Christopher Jensen,North,Male,Gold
C0286,Clayton May,North,Male,Gold
C0287,Brandon Leblanc,East,Male,Platinum
C0288,Blake Owens,West,Male,Silver
C0289,Michelle Johnson,South,Female,Bronze
C0290,Brandi Gould,East,Male,Gold
C0291,Heather Fernandez,West,Male,Silver
C0292,Andrew Rodriguez,West,Female,Bronze
C0293,Ashley Friedman,South,Female,Bronze
C0294,Tammy Davis,South,Male,Platinum
C0295,Kimberly Sullivan,East,Male,Gold
C0296,Donna Obrien,West,Female,Platinum
C0297,Jennifer Mendoza,East,Male,Platinum
C0298,Shawn Hooper,East,Male,Platinum
C0299,Beth Ford,West,Female,Gold
C0300,Dr. Kathryn Adams DDS,South,Female,Gold
C0301,Paul Gonzales,South,Male,Platinum
C0302,Vanessa Davila,North,Male,Platinum
C0303,Andrew Carter,East,Female,Silver
C0304,Bianca Kim,West,Male,Gold
C0305,Jamie Mclaughlin,East,Female,Bronze
C0306,Taylor Mack,East,Male,Platinum
C0307,Christina Franklin,East,Female,Bronze
C0308,Bethany Gonzalez,East,Female,Bronze
C0309,David Fernandez,North,Female,Bronze
C0310,Debra Blackburn,North,Male,Bronze
C0311,Christopher Walker,West,Male,Platinum
C0312,Jennifer Hill,North,Female,Gold
C0313,Miguel Smith,West,Male,Silver
C0314,Christopher Paul,West,Male,Silver
C0315,Todd Hernandez Jr.,West,Female,Platinum
C0316,April Clark,East,Male,Silver
C0317,Antonio Smith,West,Male,Silver
C0318,Danielle Carter,East,Female,Silver
C0319,Jennifer Allen,North,Male,Gold
C0320,Aaron Black,East,Female,Bronze
C0321,Paula Kidd,West,Female,Bronze
C0322,Bryan Yates,East,Female,Platinum
C0323,Troy Jefferson,West,Female,Bronze
C0324,Paul Burton,North,Male,Platinum
C0325,Brenda Simpson,West,Female,Bronze
C0326,Natalie Perkins,West,Male,Platinum
C0327,Patricia Acosta,South,Male,Gold
C0328,Lisa Price,North,Female,Platinum
C0329,Morgan Evans,South,Female,Gold
C0330,Tiffany Bender DVM,West,Female,Bronze
C0331,Karen Scott,South,Male,Gold
C0332,Anthony Morse,North,Male,Platinum
C0333,Valerie Robertson,South,Female,Gold
C0334,Danielle Wilson,North,Female,Gold
C0335,Ruben Benton,West,Male,Platinum
C0336,Brendan Khan,North,Female,Gold
C0337,Matthew Peters,North,Female,Bronze
C0338,David Mason,West,Male,Bronze
C0339,Tonya Parker,South,Female,Gold
C0340,Chelsea Green,West,Female,Silver
C0341,Alexandria Cox,South,Male,Gold
C0342,David Gutierrez,North,Male,Bronze
C0343,Frank Harding,East,Male,Platinum
C0344,Danielle Perkins,East,Female,Bronze
C0345,Sharon Reynolds,West,Female,Gold
C0346,Anthony Brown,East,Female,Silver
C0347,Stanley Le,South,Male,Silver
C0348,Michelle Ryan,West,Male,Platinum
C0349,Jonathon Knapp,East,Male,Gold
C0350,Kayla Carlson,West,Male,Platinum
C0351,Tracy Hernandez,South,Male,Bronze
C0352,Brenda Schmidt,East,Male,Gold
C0353,Andrea Baker,West,Male,Platinum
C0354,Chad Perez,North,Female,Gold
C0355,Mandy Lee,North,Male,Platinum
C0356,Trevor Walker,East,Male,Gold
C0357,Alicia Phillips MD,North,Male,Gold
C0358,Raymond Clements,East,Female,Silver
C0359,Evelyn Dunn,East,Female,Silver
C0360,Teresa Fuller,South,Male,Silver
C0361,Vanessa Reed,East,Female,Gold
C0362,Max Mcclain,North,Female,Silver
C0363,Andres Marshall,North,Female,Silver
C0364,Anthony Simmons,West,Female,Platinum
C0365,Bradley Hoffman,East,Female,Bronze
C0366,Judy Johnson,East,Female,Platinum
C0367,Nichole Thompson,North,Female,Bronze
C0368,Mrs. Nancy Schaefer,South,Male,Platinum
C0369,Gregory Martinez,East,Female,Bronze
C0370,Deborah Patel,West,Male,Silver
C0371,Jonathan Jordan,North,Male,Silver
C0372,Courtney Briggs,West,Female,Silver
C0373,Susan Molina,West,Male,Gold
C0374,Nicholas Arellano,East,Male,Platinum
C0375,Christopher Thomas,East,Male,Gold
C0376,William Christian,North,Female,Bronze
C0377,Roger Johnson,West,Male,Bronze
C0378,Faith Smith,South,Male,Bronze
C0379,Dr. Mario Harris DDS,South,Male,Platinum
C0380,Chase Young MD,South,Male,Platinum
C0381,John Ortiz,North,Male,Silver
C0382,Todd Sherman,North,Male,Bronze
C0383,Beth Ellis,North,Female,Gold
C0384,Jennifer Hatfield,North,Female,Gold
C0385,Sarah Padilla,East,Male,Silver
C0386,Gregory Hale,South,Female,Platinum
C0387,Christian Anderson,West,Male,Gold
C0388,Dr. Lisa Ramos,West,Female,Silver
C0389,Dr. Jessica Chase MD,West,Female,Bronze
C0390,Kara Gallegos,East,Male,Silver
C0391,Laura Fowler,South,Female,Gold
C0392,Andrew Proctor,West,Male,Bronze
C0393,Jordan Mason,East,Female,Platinum
C0394,Mr. Charles Young,North,Male,Silver
C0395,Robin Parker,South,Male,Gold
C0396,Jason Stevenson,South,Female,Platinum
C0397,Christian Rodriguez,South,Male,Bronze
C0398,Richard Reynolds,South,Male,Gold
C0399,Oscar Kelly,North,Female,Gold
C0400,Kenneth Jackson,South,Male,Platinum
C0401,Mary Hill,South,Male,Gold
C0402,Robert Miranda,West,Male,Silver
C0403,Michael Snyder,North,Female,Bronze
C0404,Joshua Schmidt,South,Male,Gold
C0405,Aaron Barnett,North,Female,Silver
C0406,Darin Byrd,South,Male,Gold
C0407,Kathryn Shields,East,Female,Platinum
C0408,Misty Rice,West,Male,Bronze
C0409,Robert Herrera,East,Female,Platinum
C0410,Jennifer Cline MD,North,Female,Bronze
C0411,Rose Kaiser,North,Female,Bronze
C0412,Christopher Humphrey,West,Female,Gold
C0413,Matthew Ramirez,East,Male,Silver
C0414,Charlotte Roy,North,Male,Bronze
C0415,James Collins,South,Female,Platinum
C0416,Kelsey Smith,East,Male,Platinum
C0417,Kathleen Garcia,North,Female,Bronze
C0418,Shelia Cruz,West,Female,Silver
C0419,Mrs. Amy Hale,North,Male,Silver
C0420,Jeremy Clayton,South,Male,Silver
C0421,Susan Williams,North,Male,Silver
C0422,Donald Mays,North,Female,Silver
C0423,Thomas Wells,South,Female,Gold
C0424,Brian Vaughn,North,Female,Bronze
C0425,Leah Owens,South,Male,Silver
C0426,Jennifer Norman,East,Female,Bronze
C0427,Mark Hughes,West,Female,Bronze
C0428,Paige Case,East,Male,Platinum
C0429,Lisa Potter,East,Male,Platinum
C0430,Jordan Garcia,West,Male,Silver
C0431,Sarah Fields,North,Male,Platinum
C0432,Erin Diaz,North,Female,Bronze
C0433,Bryan Harris,East,Female,Bronze
C0434,Danny Moreno,South,Female,Gold
C0435,Alison Livingston,East,Female,Platinum
C0436,Megan Hood,West,Female,Platinum
C0437,April Taylor,South,Male,Gold
C0438,Philip Espinoza,North,Male,Bronze
C0439,Tony Rodriguez,South,Male,Silver
C0440,Michael Rodriguez,South,Male,Gold
C0441,Vanessa Moore,West,Male,Bronze
C0442,Megan Koch,North,Female,Bronze
C0443,Victoria King,West,Female,Bronze
C0444,Bryan Gonzalez MD,East,Female,Platinum
C0445,Jermaine Barnes,South,Female,Gold
C0446,Stephanie Smith,West,Male,Bronze
C0447,Kimberly Nunez,North,Female,Silver
C0448,Holly Bell,East,Male,Bronze
C0449,Kathryn Smith,East,Female,Bronze
